#{"t_start": 1649804668.982891, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-594.264187,50,1.221784,0.0
-471.711532,50,2.187907,0.0
-607.761839,50,3.1388,0.0
-425.358231,50,4.157764,0.0
-1065.519844,50,5.205414,0.0
-600.08663,50,6.167421,0.0
-560.648934,50,7.180169,0.0
-1012.849411,50,8.190414,0.0
-680.191391,50,9.236052,0.0
-554.334473,50,10.312338,0.0
-645.383401,50,17.192109,0.0
-355.528935,50,18.153896,0.0
-537.35132,50,19.076179,0.0
-566.89207,50,20.133248,0.0
-845.365983,50,21.113812,0.0
-410.461748,50,22.151865,0.0
-362.760902,50,23.144318,0.0
-534.2774,50,24.087185,0.0
-468.767954,50,25.186536,0.0
-346.218717,50,26.166759,0.0
-717.642989,50,33.055832,0.0
-514.968476,50,34.007713,0.0
-598.755794,50,35.053088,0.0
-495.63511,50,36.06549,0.0
-489.191236,50,37.055603,0.0
-417.900942,50,38.948229,0.0
-711.570414,50,39.906263,0.0
-526.409529,50,40.857261,0.0
-488.380524,50,41.937679,0.0
-542.060464,50,42.924325,0.0
-591.97022,50,49.610116,0.0
-422.065574,50,50.652305,0.0
-515.470128,50,51.666628,0.0
-660.564544,50,52.704768,0.0
-461.515999,50,53.792221,0.0
-662.288021,50,54.717856,0.0
-565.792003,50,55.699655,0.0
-349.271619,50,56.666719,0.0
-626.130675,50,57.799518,0.0
-857.706573,50,58.926291,0.0
-582.013968,50,65.722436,0.0
-664.26477,50,66.974732,0.0
-515.118327,50,68.066665,0.0
-328.91124,50,69.019944,0.0
-415.958318,50,70.123026,0.0
-413.220436,50,71.258337,0.0
-592.083049,50,72.273468,0.0
-530.96206,50,73.364583,0.0
-535.159546,50,74.389085,0.0
-647.756135,50,75.487668,0.0
-421.701605,50,77.338321,0.0
-660.393922,50,84.180853,0.0
-569.514721,50,85.222638,0.0
-555.582572,50,86.283999,0.0
-722.259362,50,87.303923,0.0
-613.193214,50,88.467974,0.0
-410.933631,50,89.478461,0.0
-803.357858,50,90.615571,0.0
-478.688167,50,91.719212,0.0
-648.449691,50,92.891555,0.0
-791.274492,50,93.898,0.0
-649.960328,50,100.670574,0.0
-506.964328,50,101.675978,0.0
-694.220097,50,102.658679,0.0
-584.53909,50,103.596949,0.0
-478.149755,50,104.661404,0.0
-591.745656,50,105.723553,0.0
-775.520543,50,106.737042,0.0
-666.993722,50,107.766607,0.0
-602.443574,50,108.885511,0.0
-534.918821,50,109.943529,0.0
-753.406922,50,116.55998,0.0
-762.059932,50,117.499956,0.0
-671.048205,50,118.599888,0.0
-425.46463,50,119.632877,0.0
-433.87277,50,121.527155,0.0
-264.763626,50,122.456186,0.0
-579.575722,50,123.532187,0.0
-496.499615,50,124.668094,0.0
-634.35222,50,125.886275,0.0
-509.517897,50,127.102265,0.0
-308.74075,50,130.601299,0.0
-412.051852,50,131.621531,0.0
-523.692336,50,132.791792,0.0
-653.752479,50,133.848114,0.0
-378.855152,50,134.92518,0.0
-346.806992,50,136.044887,0.0
-486.647564,50,137.093654,0.0
-527.543582,50,138.166731,0.0
-400.485353,50,139.145832,0.0
-706.689096,50,140.134709,0.0
-672.721043,50,141.190739,0.0
-530.39033,50,145.001455,0.0
-323.313891,50,146.126719,0.0
-671.758682,50,147.278133,0.0
-826.15278,50,148.272811,0.0
-884.622824,50,149.357771,0.0
-473.286145,50,150.469975,0.0
-371.248265,50,151.487423,0.0
-738.584541,50,152.579151,0.0
-251.50304,50,155.000481,0.0
-685.323017,50,156.042764,0.0
-383.152264,50,162.884764,0.0
-387.213282,50,163.964573,0.0
-444.924156,50,165.021733,0.0
-553.788499,50,166.073667,0.0
-591.196563,50,167.050855,0.0
-661.697985,50,168.157324,0.0
-401.690342,50,169.200036,0.0
-432.416622,50,170.215541,0.0
-449.789399,50,171.338018,0.0
-403.960988,50,172.737007,0.0
-826.402499,50,179.689858,0.0
-671.514168,50,180.831961,0.0
-425.223293,50,181.857943,0.0
-872.217969,50,182.923797,0.0
-456.353513,50,183.894948,0.0
-361.648481,50,184.988162,0.0
-496.639311,50,186.170689,0.0
-562.680011,50,187.229066,0.0
-657.612859,50,188.452921,0.0
-545.685845,50,189.486027,0.0
-648.459304,50,196.372524,0.0
-968.280966,50,197.335634,0.0
-603.55246,50,198.368035,0.0
-372.638705,50,200.379768,0.0
-455.268322,50,201.540117,0.0
-517.486972,50,202.55073,0.0
-468.297963,50,203.619047,0.0
-446.958692,50,204.679031,0.0
-545.813403,50,205.818329,0.0
-381.356847,50,206.949272,0.0
-584.080984,50,208.134159,0.0
-489.940462,50,214.917445,0.0
-515.39585,50,215.973698,0.0
-590.760919,50,216.99144,0.0
-890.325903,50,218.069384,0.0
-490.229299,50,219.083007,0.0
-623.63939,50,220.10897,0.0
-448.261238,50,221.097369,0.0
-434.486841,50,222.318024,0.0
-567.063397,50,223.473024,0.0
-505.150866,50,224.464192,0.0
-464.698298,50,231.28612,0.0
-472.106673,50,232.276811,0.0
-399.979471,50,233.32457,0.0
-764.981389,50,234.424633,0.0
-482.096734,50,235.407474,0.0
-847.133898,50,236.455417,0.0
-603.025909,50,237.491856,0.0
-575.873401,50,239.374629,0.0
-454.686485,50,240.337524,0.0
-293.402726,50,241.374528,0.0
-528.148657,50,248.158939,0.0
-887.429186,50,249.1438,0.0
-578.571603,50,250.133119,0.0
-442.706509,50,251.251438,0.0
-379.539897,50,252.286551,0.0
-795.385824,50,253.340729,0.0
-464.043515,50,254.419544,0.0
-578.477763,50,255.430805,0.0
-589.832162,50,256.436342,0.0
