#{"t_start": 1650487605.523791, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-17.75821,50,1.485079,0.0
-33.186297,50,2.323844,0.0
-13.847246,50,3.185487,0.0
-8.599224,50,4.06871,0.0
-18.925923,50,4.932648,0.0
-16.832128,50,5.776178,0.0
-9.127758,50,6.664975,0.0
-14.035658,50,7.530715,0.0
-8.61011,50,8.373689,0.0
-12.557838,50,9.232819,0.0
-26.508795,50,15.956913,0.0
-10.618489,50,16.836646,0.0
-24.286508,50,17.67929,0.0
-31.266041,50,18.527588,0.0
-16.21392,50,19.406881,0.0
-11.807319,50,20.247282,0.0
-10.410214,50,21.098081,0.0
-11.884906,50,21.976437,0.0
-23.122032,50,22.856141,0.0
-12.382117,50,23.685261,0.0
-16.021378,50,30.366087,0.0
-20.568014,50,31.216307,0.0
-22.930433,50,32.079866,0.0
-11.076771,50,32.918007,0.0
-22.022333,50,33.798345,0.0
-26.196372,50,35.600778,0.0
-8.693159,50,36.447251,0.0
-12.449773,50,37.288059,0.0
-39.484451,50,38.14078,0.0
-10.081422,50,38.98574,0.0
-8.61907,50,45.666689,0.0
-21.298411,50,46.534096,0.0
-21.657632,50,47.388452,0.0
-22.109941,50,48.261297,0.0
-17.949891,50,49.129732,0.0
-18.884793,50,50.003285,0.0
-24.706539,50,50.894366,0.0
-21.828852,50,51.78226,0.0
-12.299375,50,52.65591,0.0
-16.566941,50,53.566551,0.0
-19.783426,50,60.286102,0.0
-11.389586,50,61.160243,0.0
-15.248949,50,62.013281,0.0
-13.18373,50,62.922123,0.0
-20.75213,50,63.82259,0.0
-25.708596,50,64.689459,0.0
-10.334031,50,65.567421,0.0
-12.266221,50,66.42673,0.0
-13.327808,50,67.296882,0.0
-18.64753,50,68.213848,0.0
-23.138683,50,70.130167,0.0
-21.775747,50,76.834617,0.0
-18.25135,50,77.757367,0.0
-13.241011,50,78.64318,0.0
-12.945206,50,79.548285,0.0
-15.877057,50,80.432805,0.0
-16.136159,50,81.328608,0.0
-17.684882,50,82.212081,0.0
-10.020272,50,83.087782,0.0
-19.442497,50,83.913069,0.0
-6.315845,50,84.778555,0.0
-15.237181,50,91.508834,0.0
-5.163109,50,92.406983,0.0
-16.653211,50,93.29015,0.0
-9.905298,50,94.204148,0.0
-16.798998,50,95.096066,0.0
-16.583726,50,95.960794,0.0
-9.220389,50,96.832832,0.0
-11.182928,50,97.709936,0.0
-15.248889,50,98.578468,0.0
-10.536349,50,99.449847,0.0
-14.710415,50,106.191726,0.0
-19.348904,50,107.111478,0.0
-11.496806,50,107.98451,0.0
-12.43296,50,108.866192,0.0
-8.723005,50,110.683463,0.0
-10.11445,50,111.561182,0.0
-15.323353,50,112.476234,0.0
-20.717402,50,113.361178,0.0
-10.548597,50,114.238518,0.0
-20.618167,50,115.119739,0.0
-18.360856,50,121.822825,0.0
-8.56386,50,122.708143,0.0
-6.537293,50,123.601239,0.0
-12.549437,50,124.505641,0.0
-15.6827,50,125.365782,0.0
-11.575677,50,126.275205,0.0
-9.789357,50,127.15004,0.0
-9.38186,50,128.064828,0.0
-11.592774,50,128.970633,0.0
-22.779189,50,129.860345,0.0
-9.074582,50,130.748682,0.0
-6.178751,50,137.42064,0.0
-11.073725,50,138.311504,0.0
-10.596014,50,139.242006,0.0
-12.689841,50,140.121024,0.0
-14.653615,50,141.030576,0.0
-12.546804,50,141.897116,0.0
-13.347771,50,142.741321,0.0
-10.667449,50,143.645412,0.0
-22.122067,50,145.43412,0.0
-14.941054,50,146.303938,0.0
-12.541641,50,153.076651,0.0
-10.565975,50,153.950359,0.0
-15.133557,50,154.84956,0.0
-9.531422,50,155.717668,0.0
-6.906736,50,156.612375,0.0
-9.202734,50,157.470707,0.0
-7.118542,50,158.373174,0.0
-7.095968,50,159.235222,0.0
-11.058253,50,160.125934,0.0
-13.388673,50,161.031512,0.0
-10.337912,50,167.638601,0.0
-11.677548,50,168.542066,0.0
-14.403324,50,169.454813,0.0
-9.203523,50,170.337823,0.0
-8.636428,50,171.228536,0.0
-9.28873,50,172.095375,0.0
-6.246787,50,172.99348,0.0
-9.443184,50,173.893369,0.0
-8.140922,50,174.755296,0.0
-7.662616,50,175.606449,0.0
-9.641106,50,182.358754,0.0
-13.588592,50,183.238871,0.0
-3.846247,50,184.158547,0.0
-9.109381,50,186.013489,0.0
-8.211817,50,186.914077,0.0
-8.328185,50,187.870014,0.0
-7.703828,50,188.73191,0.0
-9.042897,50,189.601857,0.0
-17.046011,50,190.472773,0.0
-9.019779,50,191.342802,0.0
-8.975596,50,192.241245,0.0
-8.459982,50,198.919144,0.0
-10.892726,50,199.829948,0.0
-19.797449,50,200.712238,0.0
-8.797634,50,201.585487,0.0
-9.276198,50,202.48585,0.0
-5.044704,50,203.386119,0.0
-8.934549,50,204.268931,0.0
-9.18531,50,205.146135,0.0
-7.075521,50,206.031341,0.0
-10.912026,50,206.953799,0.0
-10.145913,50,213.643605,0.0
-6.528328,50,214.501883,0.0
-5.949432,50,215.374862,0.0
-5.820849,50,216.234951,0.0
-7.235956,50,217.08287,0.0
-8.416113,50,217.949588,0.0
-10.088427,50,218.827681,0.0
-7.94078,50,220.606265,0.0
-13.036412,50,221.50206,0.0
-7.347305,50,222.40754,0.0
-8.222707,50,229.150988,0.0
-7.791219,50,230.098923,0.0
-9.36525,50,230.973257,0.0
-8.307615,50,231.880501,0.0
-10.171472,50,232.767513,0.0
-20.136148,50,233.613054,0.0
-11.701592,50,234.508758,0.0
-15.070115,50,235.453318,0.0
-5.873761,50,236.323907,0.0
-9.52449,50,237.220787,0.0
-18.15629,50,244.011133,0.0
-9.425664,50,244.900571,0.0
-9.2457,50,245.835339,0.0
-17.024394,50,246.756781,0.0
-3.942373,50,247.699382,0.0
-20.143861,50,248.635826,0.0
-11.259889,50,249.561559,0.0
-5.405537,50,250.461195,0.0
-7.388883,50,251.36048,0.0
-10.905402,50,252.225811,0.0
-4.974747,50,253.138504,0.0
-5.768291,50,259.90063,0.0
-7.420421,50,261.758682,0.0
-7.307531,50,262.675132,0.0
-12.047757,50,263.572875,0.0
-9.451251,50,264.507855,0.0
-8.556545,50,265.448014,0.0
-8.090395,50,266.387432,0.0
-13.773549,50,267.282193,0.0
-7.306726,50,268.163023,0.0
-3.430261,50,269.062862,0.0
-8.947001,50,275.798331,0.0
-7.278417,50,276.70673,0.0
-10.506317,50,277.589705,0.0
-15.857362,50,278.521782,0.0
-6.425142,50,279.440313,0.0
-7.459393,50,280.384247,0.0
-5.226487,50,281.245579,0.0
-4.926863,50,282.158763,0.0
-8.351153,50,283.058408,0.0
-5.363826,50,283.970354,0.0
-7.88766,50,290.70584,0.0
-6.36856,50,291.587049,0.0
-4.475894,50,292.542961,0.0
-10.783531,50,293.423748,0.0
-6.550381,50,294.359411,0.0
-7.549982,50,295.239245,0.0
-13.486106,50,297.07369,0.0
-9.35811,50,297.951182,0.0
-9.019253,50,298.810902,0.0
