#{"t_start": 1650837477.3712163, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-472.130994,50,0.932479,0.0
-854.561723,50,1.80087,0.0
-729.134912,50,2.668385,0.0
-619.782517,50,3.548932,0.0
-1073.090238,50,4.407512,0.0
-1114.282764,50,5.278995,0.0
-788.301896,50,6.132239,0.0
-907.764072,50,6.988646,0.0
-999.860361,50,7.817287,0.0
-676.232496,50,8.652402,0.0
-1065.090977,50,15.307081,0.0
-608.058689,50,16.161217,0.0
-505.642259,50,17.016062,0.0
-777.39948,50,17.890455,0.0
-984.175709,50,18.75108,0.0
-672.417057,50,19.580496,0.0
-974.373365,50,20.46075,0.0
-515.538265,50,21.325106,0.0
-810.292048,50,22.243028,0.0
-729.120641,50,23.090023,0.0
-701.239604,50,29.722693,0.0
-938.676221,50,30.543395,0.0
-1053.800436,50,31.460782,0.0
-880.208752,50,32.346473,0.0
-668.251017,50,33.241887,0.0
-596.79959,50,35.191887,0.0
-952.006142,50,36.034899,0.0
-655.210801,50,36.858332,0.0
-923.923217,50,37.723416,0.0
-930.778743,50,38.581369,0.0
-792.920376,50,45.219129,0.0
-748.438828,50,46.119031,0.0
-532.433031,50,46.960095,0.0
-749.643512,50,47.850742,0.0
-476.96015,50,48.755952,0.0
-1016.635472,50,49.629269,0.0
-537.12652,50,50.505064,0.0
-593.138241,50,51.418352,0.0
-943.748647,50,52.304702,0.0
-596.489529,50,53.185877,0.0
-765.105762,50,59.858571,0.0
-454.613898,50,60.736177,0.0
-520.19872,50,61.623566,0.0
-338.322225,50,62.566055,0.0
-374.660684,50,63.46832,0.0
-559.716154,50,64.374776,0.0
-461.251091,50,65.267554,0.0
-642.909154,50,66.133399,0.0
-613.420744,50,67.017824,0.0
-541.637213,50,67.924191,0.0
-550.780817,50,69.900098,0.0
-461.537844,50,76.559007,0.0
-805.002907,50,77.512068,0.0
-679.803629,50,78.408984,0.0
-661.095152,50,79.30107,0.0
-734.830128,50,80.231719,0.0
-556.735929,50,81.122581,0.0
-665.290752,50,82.013395,0.0
-131.687686,50,82.987785,0.0
-580.151201,50,83.836121,0.0
-681.183629,50,84.741454,0.0
-574.022694,50,91.383624,0.0
-674.726606,50,92.393682,0.0
-696.664298,50,93.221004,0.0
-563.39577,50,94.150591,0.0
-451.606009,50,95.057232,0.0
-675.914311,50,95.929714,0.0
-908.176622,50,96.840226,0.0
-492.45725,50,97.708486,0.0
-375.724257,50,98.648547,0.0
-320.970144,50,99.550332,0.0
-883.226302,50,106.185394,0.0
-616.685197,50,107.141376,0.0
-344.093401,50,108.051825,0.0
-469.456245,50,108.941533,0.0
-432.88239,50,110.887405,0.0
-596.415722,50,111.774916,0.0
-454.967212,50,112.716088,0.0
-574.349144,50,113.587897,0.0
-706.021272,50,114.525139,0.0
-523.097234,50,115.43912,0.0
-301.840265,50,122.093813,0.0
-386.538812,50,123.003106,0.0
-673.180841,50,123.914305,0.0
-470.24012,50,124.855187,0.0
-531.151323,50,125.776943,0.0
-521.382155,50,126.643142,0.0
-747.163299,50,127.638595,0.0
-382.661828,50,128.568549,0.0
-498.319554,50,129.498186,0.0
-290.003337,50,130.417087,0.0
-471.9993,50,131.372384,0.0
-518.397881,50,138.019417,0.0
-275.652739,50,138.967355,0.0
-255.694194,50,139.967718,0.0
-859.452315,50,140.883252,0.0
-909.780243,50,141.83962,0.0
-265.398021,50,142.72968,0.0
-408.110453,50,143.702415,0.0
-832.122731,50,144.613037,0.0
-548.243139,50,146.509811,0.0
-468.218805,50,147.454137,0.0
-694.551361,50,154.128217,0.0
-285.123297,50,155.114479,0.0
-325.008947,50,156.070089,0.0
-670.139368,50,156.999397,0.0
-713.00597,50,157.960531,0.0
-594.319655,50,158.88487,0.0
-451.06322,50,159.905105,0.0
-521.410581,50,160.891914,0.0
-325.656038,50,161.851937,0.0
-647.972617,50,162.783929,0.0
-297.466477,50,169.535191,0.0
-541.621582,50,170.504217,0.0
-471.42096,50,171.527971,0.0
-762.66107,50,172.43938,0.0
-541.077268,50,173.391779,0.0
-302.465169,50,174.369504,0.0
-384.679728,50,175.291673,0.0
-295.9095,50,176.226383,0.0
-719.396711,50,177.188523,0.0
-726.780451,50,178.123234,0.0
-319.661272,50,184.807296,0.0
-280.702539,50,185.789176,0.0
-471.190115,50,186.773698,0.0
-506.34442,50,188.942739,0.0
-695.399748,50,189.939584,0.0
-239.203438,50,190.976044,0.0
-839.987873,50,191.881927,0.0
-490.753605,50,192.893351,0.0
-386.039499,50,193.890118,0.0
-638.979548,50,194.927065,0.0
