#{"t_start": 1649945017.767287, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-1093.568255,50,1.226516,0.0
-871.234944,50,2.064841,0.0
-1597.228871,50,2.90433,0.0
-1693.350568,50,3.742588,0.0
-476.650944,50,4.59073,0.0
-1053.410348,50,5.418418,0.0
-1128.594537,50,6.234252,0.0
-768.982392,50,7.067436,0.0
-1336.974893,50,7.886495,0.0
-1964.144541,50,8.709624,0.0
-932.247722,50,15.370035,0.0
-1281.667976,50,16.2273,0.0
-1495.063322,50,17.060685,0.0
-606.628986,50,17.914027,0.0
-699.437488,50,18.814329,0.0
-2202.901986,50,19.640718,0.0
-1367.642437,50,20.501345,0.0
-2327.299188,50,21.339472,0.0
-1649.50822,50,22.20462,0.0
-1455.95182,50,23.029297,0.0
-798.763537,50,29.644628,0.0
-973.270879,50,30.54075,0.0
-1262.182666,50,31.353143,0.0
-678.321861,50,32.182513,0.0
-949.414608,50,33.018111,0.0
-1110.111231,50,34.701558,0.0
-638.216593,50,35.546537,0.0
-827.637885,50,36.365915,0.0
-1173.615194,50,37.182422,0.0
-1573.301483,50,38.029167,0.0
-521.902063,50,44.706786,0.0
-1422.053677,50,45.53596,0.0
-1008.188998,50,46.399063,0.0
-769.37159,50,47.244359,0.0
-833.468364,50,48.080417,0.0
-842.587585,50,48.898712,0.0
-1264.839331,50,49.724232,0.0
-734.858362,50,50.542368,0.0
-1391.623285,50,51.369217,0.0
-668.469566,50,52.179178,0.0
-809.367756,50,58.794028,0.0
-1414.200311,50,59.617058,0.0
-828.396623,50,60.417583,0.0
-721.429687,50,61.249453,0.0
-1165.086353,50,62.052435,0.0
-642.878752,50,62.86389,0.0
-1031.032372,50,63.686516,0.0
-1085.696864,50,64.514885,0.0
-599.599288,50,65.31887,0.0
-1271.474518,50,66.145017,0.0
-1383.897946,50,67.837076,0.0
-996.589919,50,74.46167,0.0
-1021.783878,50,75.301008,0.0
-722.032259,50,76.142658,0.0
-1046.488076,50,76.990397,0.0
-821.0351,50,77.844726,0.0
-575.622745,50,78.677074,0.0
-738.919234,50,79.503376,0.0
-745.77046,50,80.335238,0.0
-1000.828132,50,81.151086,0.0
-1001.263661,50,81.963082,0.0
-703.684313,50,88.569026,0.0
-824.610026,50,89.385106,0.0
-1343.485231,50,90.211646,0.0
-999.889334,50,91.021698,0.0
-767.873656,50,91.830075,0.0
-381.099728,50,92.633072,0.0
-689.836734,50,93.449553,0.0
-678.572684,50,94.268735,0.0
-660.887985,50,95.093848,0.0
-655.597121,50,95.917244,0.0
-1295.769325,50,102.550678,0.0
-788.850857,50,103.355905,0.0
-802.602283,50,104.176764,0.0
-1054.129143,50,104.999253,0.0
-1329.512926,50,106.682507,0.0
-540.379738,50,107.533581,0.0
-603.644595,50,108.394462,0.0
-952.813224,50,109.239215,0.0
-868.785008,50,110.067631,0.0
-918.57744,50,110.890105,0.0
-622.508917,50,117.478716,0.0
-732.57659,50,118.304139,0.0
-1027.788739,50,119.110215,0.0
-600.424555,50,119.944692,0.0
-922.572725,50,120.779473,0.0
-821.014292,50,121.619783,0.0
-473.202936,50,122.453638,0.0
-983.090876,50,123.290885,0.0
-619.709659,50,124.100245,0.0
-610.503307,50,124.926185,0.0
-1072.656395,50,125.7473,0.0
-792.664688,50,132.34745,0.0
-992.60561,50,133.150352,0.0
-1028.185252,50,133.970834,0.0
-958.822834,50,134.791572,0.0
-609.092553,50,135.604378,0.0
-691.560044,50,136.426505,0.0
-738.240267,50,137.255231,0.0
-1034.757007,50,138.105235,0.0
-1066.590799,50,139.773593,0.0
-791.691202,50,140.601871,0.0
-556.793929,50,147.18627,0.0
-1111.100721,50,147.990427,0.0
-522.902797,50,148.816185,0.0
-699.806972,50,149.641688,0.0
-621.798417,50,150.469894,0.0
-830.752381,50,151.310448,0.0
-879.467987,50,152.126899,0.0
-647.407643,50,152.946201,0.0
-328.96018,50,153.768792,0.0
-428.266905,50,154.578003,0.0
-549.960736,50,161.170287,0.0
-732.279398,50,162.001929,0.0
-402.903938,50,162.811871,0.0
-809.524063,50,163.628001,0.0
-760.178217,50,164.4447,0.0
-830.745141,50,165.253679,0.0
-344.259465,50,166.073441,0.0
-889.625187,50,166.905289,0.0
-952.179862,50,167.726679,0.0
-829.198638,50,168.567423,0.0
-814.994146,50,175.189382,0.0
-1047.924961,50,176.000061,0.0
-1127.873132,50,176.828724,0.0
-615.302664,50,178.495241,0.0
-517.004511,50,179.32613,0.0
-829.805753,50,180.158427,0.0
-927.206272,50,180.972175,0.0
-608.214308,50,181.790971,0.0
-691.958621,50,182.605153,0.0
-651.371477,50,183.424461,0.0
-420.938673,50,184.244012,0.0
-454.55715,50,190.88194,0.0
-1307.349997,50,191.704059,0.0
-568.271556,50,192.510314,0.0
-556.429034,50,193.319638,0.0
-821.678368,50,194.137827,0.0
-618.310136,50,194.962155,0.0
-532.228039,50,195.79059,0.0
-932.55729,50,196.599986,0.0
