#{"t_start": 1650479908.5885868, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-785.165689,50,1.261786,0.0
-1442.111904,50,2.100344,0.0
-1456.694498,50,2.957073,0.0
-908.850893,50,3.839789,0.0
-487.111149,50,4.696772,0.0
-1207.857733,50,5.537449,0.0
-565.827999,50,6.425945,0.0
-1105.569381,50,7.28902,0.0
-689.710591,50,8.131461,0.0
-410.960455,50,8.989825,0.0
-935.099484,50,15.691641,0.0
-1378.648252,50,16.578192,0.0
-1233.502714,50,17.416752,0.0
-1347.207828,50,18.271492,0.0
-854.653957,50,19.143819,0.0
-936.783307,50,19.976841,0.0
-1235.371419,50,20.826097,0.0
-733.564627,50,21.701516,0.0
-844.503355,50,22.583475,0.0
-1748.86096,50,23.415039,0.0
-1395.47817,50,30.155423,0.0
-595.741663,50,30.996085,0.0
-1019.554733,50,31.847363,0.0
-1165.686116,50,32.682331,0.0
-573.769844,50,33.563945,0.0
-1033.436823,50,35.344464,0.0
-1399.489832,50,36.197052,0.0
-1698.621924,50,37.024625,0.0
-1806.235997,50,37.872517,0.0
-1091.164923,50,38.712667,0.0
-784.273362,50,45.415037,0.0
-878.206151,50,46.273731,0.0
-1052.300587,50,47.136314,0.0
-682.15514,50,47.994856,0.0
-1564.010529,50,48.841533,0.0
-1545.420266,50,49.707881,0.0
-2021.55166,50,50.580604,0.0
-770.01371,50,51.458968,0.0
-448.716491,50,52.332309,0.0
-1612.200246,50,53.22666,0.0
-1224.927305,50,59.94109,0.0
-1125.456146,50,60.815064,0.0
-1571.654727,50,61.667272,0.0
-552.168373,50,62.581093,0.0
-1038.635888,50,63.451243,0.0
-1778.093045,50,64.312463,0.0
-414.676988,50,65.202058,0.0
-837.033925,50,66.067673,0.0
-1439.467281,50,66.943175,0.0
-1818.227355,50,67.825752,0.0
-781.087511,50,69.691997,0.0
-848.794201,50,76.356666,0.0
-1120.267174,50,77.274466,0.0
-1351.034954,50,78.170172,0.0
-1081.414612,50,79.082072,0.0
-576.91331,50,79.962338,0.0
-1183.183959,50,80.852857,0.0
-1254.839009,50,81.743489,0.0
-1210.623351,50,82.621798,0.0
-524.969705,50,83.43915,0.0
-1169.261387,50,84.29955,0.0
-1396.435775,50,91.060817,0.0
-1103.082609,50,91.948769,0.0
-823.31126,50,92.834607,0.0
-1033.774879,50,93.716747,0.0
-1212.472542,50,94.58915,0.0
-530.174697,50,95.433821,0.0
-1060.00978,50,96.300577,0.0
-563.647954,50,97.163183,0.0
-1697.769235,50,98.05079,0.0
-532.804676,50,98.924236,0.0
-641.328592,50,105.678886,0.0
-538.275706,50,106.580814,0.0
-1054.733244,50,107.455042,0.0
-531.32082,50,108.358619,0.0
-1473.479741,50,110.16614,0.0
-995.35648,50,111.031698,0.0
-898.78634,50,111.931636,0.0
-464.84893,50,112.847716,0.0
-1477.744008,50,113.722839,0.0
-845.7446,50,114.597951,0.0
-680.550308,50,121.345982,0.0
-515.468913,50,122.249504,0.0
-1219.881173,50,123.12369,0.0
-1082.54701,50,124.069871,0.0
-1071.611864,50,124.924099,0.0
-966.79875,50,125.801089,0.0
-853.467411,50,126.679102,0.0
-874.472549,50,127.605756,0.0
-1275.172361,50,128.504142,0.0
-1027.505574,50,129.375669,0.0
-1026.856137,50,130.29475,0.0
-550.768045,50,137.009608,0.0
-1143.320305,50,137.905413,0.0
-508.467643,50,138.789429,0.0
-858.506194,50,139.687745,0.0
-1198.60411,50,140.554914,0.0
-1075.933552,50,141.428941,0.0
-752.563732,50,142.305911,0.0
-1331.526861,50,143.16632,0.0
-810.703551,50,144.963649,0.0
-639.991787,50,145.861747,0.0
-588.002076,50,152.563076,0.0
-961.982492,50,153.423362,0.0
-801.402408,50,154.323843,0.0
-1085.390578,50,155.202415,0.0
-776.668296,50,156.078302,0.0
-939.573238,50,157.038757,0.0
-520.210771,50,157.96301,0.0
-1192.653772,50,158.808179,0.0
-480.424595,50,159.710629,0.0
-446.518165,50,160.586178,0.0
-448.879734,50,167.298205,0.0
-850.806695,50,168.222855,0.0
-646.248369,50,169.113942,0.0
-672.277829,50,169.978215,0.0
-1178.510663,50,170.87542,0.0
-725.134554,50,171.781396,0.0
-700.384468,50,172.65466,0.0
-1300.645754,50,173.55759,0.0
-1008.632589,50,174.451869,0.0
-1031.182532,50,175.328321,0.0
-1023.599723,50,182.038369,0.0
-1188.646918,50,182.92591,0.0
-1027.333653,50,183.817775,0.0
-791.583077,50,185.689,0.0
-608.966833,50,186.586012,0.0
-843.611938,50,187.497391,0.0
-569.788669,50,188.374746,0.0
-639.899125,50,189.242776,0.0
-804.378062,50,190.152232,0.0
-943.911125,50,191.006154,0.0
-712.339308,50,191.888184,0.0
-622.627267,50,198.59008,0.0
-1212.099543,50,199.472439,0.0
-1065.928451,50,200.328744,0.0
-690.175235,50,201.210964,0.0
-295.397292,50,202.118423,0.0
-472.584021,50,203.005271,0.0
-885.320532,50,203.8959,0.0
-973.245343,50,204.747451,0.0
-834.776733,50,205.664553,0.0
-485.20703,50,206.619823,0.0
-1024.268135,50,213.357664,0.0
-1169.170169,50,214.244901,0.0
-832.019279,50,215.168477,0.0
-1297.166277,50,216.068423,0.0
-528.889044,50,216.937064,0.0
-720.648672,50,217.776546,0.0
-642.080427,50,218.67268,0.0
-785.053341,50,220.399237,0.0
-1472.614821,50,221.289037,0.0
-854.95162,50,222.174214,0.0
-892.224657,50,228.883873,0.0
-541.724175,50,229.79647,0.0
-662.544428,50,230.66001,0.0
-585.395187,50,231.537751,0.0
-948.864933,50,232.399802,0.0
-869.600882,50,233.27873,0.0
-586.98997,50,234.113645,0.0
-831.689876,50,234.979644,0.0
-688.290842,50,235.858741,0.0
-790.469589,50,236.750181,0.0
-471.056296,50,243.409581,0.0
-935.298385,50,244.305367,0.0
-1072.389471,50,245.167679,0.0
-749.163327,50,246.089823,0.0
-920.63438,50,246.970117,0.0
-723.038127,50,247.895873,0.0
-788.08744,50,248.762871,0.0
-458.529672,50,249.641137,0.0
-610.674434,50,250.531126,0.0
-421.219477,50,251.465113,0.0
-553.898761,50,252.336743,0.0
-614.791634,50,259.019688,0.0
-516.750357,50,260.78995,0.0
-623.017254,50,261.662133,0.0
-610.705723,50,262.602909,0.0
-951.597735,50,263.506696,0.0
-385.63533,50,264.461288,0.0
-490.380676,50,265.408205,0.0
-811.54752,50,266.328978,0.0
-627.3638,50,267.201737,0.0
-726.978396,50,268.066612,0.0
-440.422935,50,274.840177,0.0
-834.253323,44,275.642395,1.0
-902.970275,50,276.539569,0.0
-656.553786,50,277.455542,0.0
-402.918605,50,278.325239,0.0
-673.916417,50,279.205487,0.0
-969.132062,50,280.082587,0.0
-556.804168,50,280.996198,0.0
-841.068779,50,281.875439,0.0
-817.627591,50,282.757796,0.0
-579.789556,50,289.485335,0.0
-642.345676,50,290.383128,0.0
-900.339042,50,291.300957,0.0
-431.274144,50,292.200191,0.0
-968.988105,50,293.092093,0.0
-434.756308,50,293.983573,0.0
-458.114161,50,295.722343,0.0
-704.457584,50,296.633652,0.0
-973.122593,50,297.550257,0.0
-860.947292,50,298.431257,0.0
-1053.818615,50,305.15386,0.0
-505.527202,50,306.005747,0.0
-900.962056,50,306.904837,0.0
-862.553612,50,307.832662,0.0
-760.354867,50,308.703371,0.0
-659.310996,50,309.580019,0.0
-325.49033,50,310.481982,0.0
-374.708429,50,311.452924,0.0
-691.203121,50,312.341238,0.0
-375.349387,50,313.278195,0.0
-364.652937,50,314.220313,0.0
-665.336707,50,320.995657,0.0
-1156.188603,50,321.875621,0.0
-492.8987,50,322.791364,0.0
-577.352744,50,323.668096,0.0
-734.243382,50,324.555308,0.0
-725.931665,50,325.424758,0.0
-462.001407,50,326.311316,0.0
-357.907686,50,327.186305,0.0
-563.638197,50,328.06099,0.0
-601.894363,50,328.935117,0.0
-461.949754,50,336.501697,0.0
-677.623148,50,337.41959,0.0
-729.019039,50,338.309555,0.0
-629.85814,50,339.201536,0.0
-486.58866,50,340.119164,0.0
-588.085258,50,340.95616,0.0
-522.296254,50,341.881415,0.0
-477.745963,50,342.726971,0.0
-293.852104,50,343.633509,0.0
-1036.725342,50,344.507651,0.0
-233.020404,50,351.241994,0.0
-604.035708,50,352.188062,0.0
-463.293412,50,353.082021,0.0
-575.232603,50,353.983373,0.0
-386.890922,50,354.857563,0.0
