#{"t_start": 1649952657.4410186, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-1039.738655,50,1.462325,0.0
-1881.739685,50,2.302809,0.0
-891.600243,50,3.189003,0.0
-669.915044,50,4.116048,0.0
-1301.40924,50,5.032426,0.0
-947.720722,50,5.903896,0.0
-363.423216,50,6.812039,0.0
-951.256429,50,7.710237,0.0
-390.197828,50,8.569924,0.0
-708.674074,50,9.447923,0.0
-1443.255013,50,16.155929,0.0
-609.87934,50,17.084636,0.0
-1346.456528,50,17.944328,0.0
-1825.365177,50,18.847702,0.0
-1024.001091,50,19.761562,0.0
-594.167302,50,20.631521,0.0
-536.215768,50,21.529536,0.0
-743.903927,50,22.445831,0.0
-1335.839524,50,23.369488,0.0
-585.455325,50,24.233731,0.0
-1074.442144,50,30.971952,0.0
-1120.976041,50,31.831023,0.0
-1308.128429,50,32.669341,0.0
-677.861866,50,33.547756,0.0
-1403.713904,50,34.465068,0.0
-1596.430458,50,36.200181,0.0
-945.798202,50,37.076173,0.0
-787.52455,50,37.933381,0.0
-2309.728134,50,38.807456,0.0
-774.226526,50,39.671322,0.0
-536.195889,50,46.331795,0.0
-1748.90822,50,47.176561,0.0
-1386.681933,50,48.103617,0.0
-1396.427036,50,48.997753,0.0
-1073.122608,50,49.846622,0.0
-1224.179729,50,50.675179,0.0
-1641.598309,50,51.531766,0.0
-1195.448574,50,52.473442,0.0
-825.374317,50,53.433927,0.0
-1029.225631,50,54.371714,0.0
-1157.171407,50,61.021884,0.0
-828.683922,50,62.001572,0.0
-1168.817012,50,62.865695,0.0
-874.128205,50,63.827083,0.0
-1233.267222,50,64.720316,0.0
-2017.550372,50,65.606159,0.0
-327.884147,50,66.573018,0.0
-891.889869,50,67.493598,0.0
-984.910838,50,68.362075,0.0
-1573.693997,50,69.234153,0.0
-1469.260973,50,71.176996,0.0
-1221.07228,50,77.879499,0.0
-961.872013,50,78.810251,0.0
-705.174034,50,79.72991,0.0
-963.498547,50,80.632824,0.0
-1384.717289,50,81.538047,0.0
-759.127047,50,82.457578,0.0
-1057.977952,50,83.362609,0.0
-724.834031,50,84.273567,0.0
-1220.266382,50,85.195592,0.0
-355.976408,50,86.108185,0.0
-822.850808,50,92.748826,0.0
-307.210768,50,93.675724,0.0
-1004.788245,50,94.531841,0.0
-692.939969,50,95.406178,0.0
-1537.486852,50,96.277011,0.0
-930.431189,50,97.180405,0.0
-827.104207,50,98.089368,0.0
-892.375905,50,99.025258,0.0
-982.116647,50,99.930701,0.0
-720.149326,50,100.799719,0.0
-981.363837,50,107.445826,0.0
-1491.478665,50,108.384433,0.0
-855.619863,50,109.252497,0.0
-699.911194,50,110.183101,0.0
-406.27643,50,112.001301,0.0
-723.11685,50,112.922959,0.0
-1288.001394,50,113.874342,0.0
-1190.602793,50,114.785265,0.0
-696.835472,50,115.741216,0.0
-1636.281974,50,116.665552,0.0
-1543.923116,50,123.417901,0.0
-424.956877,50,124.389558,0.0
-405.948789,50,125.324616,0.0
-944.014948,50,126.235142,0.0
-1184.71661,50,127.18194,0.0
-714.07944,50,128.10337,0.0
-985.880287,50,129.054282,0.0
-868.938445,50,130.031061,0.0
-942.478593,50,130.946449,0.0
-1272.197581,50,131.915557,0.0
-1237.016306,50,132.877737,0.0
-897.671983,50,139.581405,0.0
-702.449959,50,140.480666,0.0
-1049.814996,50,141.389083,0.0
-1320.413225,50,142.258394,0.0
-1454.934133,50,143.196766,0.0
-1207.21194,50,144.087095,0.0
-1208.911392,50,144.929204,0.0
-925.34949,50,145.846409,0.0
-1659.005762,50,147.769116,0.0
-1151.728145,50,148.707556,0.0
-1098.340718,50,155.424759,0.0
-486.656851,50,156.34787,0.0
-973.958924,50,157.289467,0.0
-1022.795663,50,158.215132,0.0
-1157.446522,50,159.088375,0.0
-1342.05658,50,160.028903,0.0
-842.974257,50,161.011862,0.0
-1162.513635,50,161.959883,0.0
-719.33102,50,162.939028,0.0
-734.611058,50,163.950291,0.0
-780.710399,50,170.723417,0.0
-928.567921,50,171.66249,0.0
-1007.761485,50,172.616214,0.0
-727.499477,50,173.530154,0.0
-896.119751,50,174.417614,0.0
-763.519717,50,175.339713,0.0
-307.756569,50,176.331119,0.0
-735.879374,50,177.244781,0.0
-879.086157,50,178.192585,0.0
-734.272951,50,179.142212,0.0
-1382.678285,50,185.947802,0.0
-1108.017938,50,186.854285,0.0
-975.392534,50,187.744897,0.0
-941.86137,50,189.791098,0.0
-781.806073,50,190.8127,0.0
-575.065228,50,191.801028,0.0
-806.538633,50,192.684087,0.0
-610.785566,50,193.654697,0.0
-1094.953354,50,194.612486,0.0
-960.292355,50,195.576565,0.0
-1348.025939,50,196.540715,0.0
-463.649165,50,203.270748,0.0
-805.038775,50,204.200585,0.0
-1119.487797,50,205.163949,0.0
-2503.906646,50,206.081588,0.0
-646.086318,50,207.031208,0.0
-608.464844,50,207.9995,0.0
-719.979224,50,208.996609,0.0
-490.23773,50,209.968678,0.0
-690.83079,50,210.942198,0.0
-984.471699,50,211.95908,0.0
-972.803913,50,218.783348,0.0
-843.425407,50,219.78971,0.0
-809.419303,50,220.802607,0.0
-1473.688238,50,221.797421,0.0
-597.802262,50,222.770773,0.0
-595.921341,50,223.717554,0.0
