#{"t_start": 1651049766.0072267, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-50.0,50,1.19652,0.0
-50.0,50,2.038095,0.0
-50.0,50,2.905577,0.0
-50.0,50,3.797259,0.0
-50.0,50,4.649964,0.0
-50.0,50,5.504143,0.0
-50.0,50,6.374761,0.0
-50.0,50,7.240552,0.0
-50.0,50,8.104668,0.0
-50.0,50,8.943648,0.0
-50.0,50,15.69368,0.0
-50.0,50,16.567147,0.0
-50.0,50,17.420457,0.0
-50.0,50,18.272935,0.0
-50.0,50,19.13448,0.0
-50.0,50,20.013641,0.0
-50.0,50,20.889695,0.0
-50.0,50,21.765948,0.0
-50.0,50,22.645363,0.0
-50.0,50,23.474809,0.0
-50.0,50,30.219427,0.0
-50.0,50,31.089661,0.0
-50.0,50,31.929293,0.0
-50.0,50,32.77493,0.0
-50.0,50,33.645496,0.0
-50.0,50,35.386495,0.0
-50.0,50,36.243333,0.0
-50.0,50,37.069366,0.0
-50.0,50,37.921468,0.0
-50.0,50,38.781019,0.0
-50.0,50,45.601259,0.0
-50.0,50,46.478808,0.0
-50.0,50,47.351684,0.0
-50.0,50,48.200904,0.0
-50.0,50,49.060201,0.0
-50.0,50,49.906276,0.0
-50.0,50,50.772727,0.0
-50.0,50,51.621693,0.0
-50.0,50,52.454127,0.0
-50.0,50,53.29875,0.0
-50.0,50,60.067434,0.0
-50.0,50,60.891643,0.0
-50.0,50,61.730485,0.0
-50.0,50,62.574191,0.0
-50.0,50,63.444467,0.0
-50.0,50,64.26848,0.0
-50.0,50,65.108282,0.0
-50.0,50,65.948631,0.0
-50.0,50,66.807662,0.0
-50.0,50,67.653602,0.0
-50.0,50,69.411452,0.0
-50.0,50,76.182425,0.0
-50.0,50,77.018295,0.0
-50.0,50,77.858926,0.0
-50.0,50,78.720885,0.0
-50.0,50,79.611509,0.0
-50.0,50,80.46773,0.0
-50.0,50,81.355333,0.0
-50.0,50,82.242859,0.0
-50.0,50,83.087445,0.0
-50.0,50,83.944822,0.0
-50.0,50,90.763223,0.0
-50.0,50,91.655293,0.0
-50.0,50,92.566487,0.0
-50.0,50,93.454703,0.0
-50.0,50,94.310621,0.0
-50.0,50,95.191182,0.0
-50.0,50,96.036112,0.0
-50.0,50,96.90578,0.0
-50.0,50,97.774082,0.0
-50.0,50,98.641559,0.0
-50.0,50,105.447421,0.0
-50.0,50,106.302777,0.0
-50.0,50,107.168746,0.0
-50.0,50,108.034069,0.0
-50.0,50,109.810972,0.0
-50.0,50,110.678843,0.0
-50.0,50,111.578236,0.0
-50.0,50,112.479941,0.0
-50.0,50,113.336766,0.0
-50.0,50,114.201572,0.0
-50.0,50,120.908815,0.0
-50.0,50,121.787184,0.0
-50.0,50,122.669566,0.0
-50.0,50,123.524901,0.0
-50.0,50,124.448259,0.0
-50.0,50,125.329349,0.0
-50.0,50,126.214819,0.0
-50.0,50,127.081089,0.0
-50.0,50,127.926911,0.0
-50.0,50,128.788538,0.0
-50.0,50,129.65448,0.0
-50.0,50,136.39365,0.0
-50.0,50,137.251976,0.0
-50.0,50,138.1065,0.0
-50.0,50,138.957341,0.0
-50.0,50,139.827982,0.0
-50.0,50,140.702627,0.0
-50.0,50,141.560646,0.0
-50.0,50,142.427518,0.0
-50.0,50,144.148371,0.0
-50.0,50,145.009049,0.0
-50.0,50,151.744937,0.0
-50.0,50,152.619873,0.0
-50.0,50,153.495275,0.0
-50.0,50,154.334848,0.0
-50.0,50,155.191192,0.0
-50.0,50,156.068693,0.0
-50.0,50,156.946838,0.0
-50.0,50,157.823684,0.0
-50.0,50,158.698165,0.0
-50.0,50,159.547842,0.0
-50.0,50,166.371264,0.0
-50.0,50,167.257997,0.0
-50.0,50,168.149606,0.0
-50.0,50,168.989568,0.0
-50.0,50,169.853714,0.0
-50.0,50,170.743579,0.0
-50.0,50,171.626218,0.0
-50.0,50,172.485488,0.0
-50.0,50,173.327504,0.0
-50.0,50,174.245298,0.0
-50.0,50,181.045715,0.0
-50.0,50,181.927543,0.0
-50.0,50,182.788385,0.0
-50.0,50,184.569037,0.0
-50.0,50,185.426959,0.0
-50.0,50,186.296436,0.0
-50.0,50,187.183137,0.0
-50.0,50,188.069323,0.0
-50.0,50,188.956711,0.0
-50.0,50,189.892005,0.0
-50.0,50,190.843176,0.0
-50.0,50,197.643434,0.0
-50.0,50,198.482796,0.0
-50.0,50,199.326026,0.0
-50.0,50,200.208949,0.0
-50.0,50,201.094032,0.0
-50.0,50,201.964471,0.0
-50.0,50,202.836427,0.0
-50.0,50,203.693434,0.0
-50.0,50,204.570723,0.0
-50.0,50,205.462473,0.0
-50.0,50,212.218397,0.0
-50.0,50,213.182218,0.0
-50.0,50,214.07961,0.0
-50.0,50,215.032845,0.0
-50.0,50,215.946706,0.0
-50.0,50,216.827243,0.0
-50.0,50,217.702266,0.0
-50.0,50,219.458506,0.0
-50.0,50,220.367472,0.0
-50.0,50,221.221401,0.0
-50.0,50,228.005923,0.0
-50.0,50,228.88687,0.0
-50.0,50,229.762264,0.0
-50.0,50,230.652267,0.0
-50.0,50,231.532428,0.0
-50.0,50,232.41048,0.0
-50.0,50,233.344246,0.0
-50.0,50,234.252615,0.0
-50.0,50,235.126216,0.0
-50.0,50,236.01482,0.0
-50.0,50,242.78476,0.0
-50.0,50,243.722814,0.0
-50.0,50,244.583873,0.0
-50.0,50,245.458,0.0
-50.0,50,246.333023,0.0
-50.0,50,247.219556,0.0
-50.0,50,248.195707,0.0
-50.0,50,249.080082,0.0
-50.0,50,249.986663,0.0
-50.0,50,250.919792,0.0
-50.0,50,251.838859,0.0
-50.0,50,258.595955,0.0
-50.0,50,260.342867,0.0
-50.0,50,261.235147,0.0
-50.0,50,262.103703,0.0
-50.0,50,263.019383,0.0
-50.0,50,263.926283,0.0
-50.0,50,264.79165,0.0
-50.0,50,265.655636,0.0
-50.0,50,266.547517,0.0
-50.0,50,267.45822,0.0
-50.0,50,274.178883,0.0
-50.0,50,275.053905,0.0
-50.0,50,275.930177,0.0
-50.0,50,276.828161,0.0
-50.0,50,277.70764,0.0
-50.0,50,278.577748,0.0
-50.0,50,279.484743,0.0
-50.0,50,280.427286,0.0
-50.0,50,281.289196,0.0
-50.0,50,282.146664,0.0
-50.0,50,288.98894,0.0
-50.0,50,289.845008,0.0
-50.0,50,290.701547,0.0
-50.0,50,291.605096,0.0
-50.0,50,292.474948,0.0
-50.0,50,293.402041,0.0
-50.0,50,295.18698,0.0
-50.0,50,296.118198,0.0
-50.0,50,297.016856,0.0
-50.0,50,297.912418,0.0
-50.0,50,304.693512,0.0
-50.0,50,305.566942,0.0
-50.0,50,306.506261,0.0
-50.0,50,307.420993,0.0
-50.0,50,308.282968,0.0
-50.0,50,309.201741,0.0
-50.0,50,310.065211,0.0
-50.0,50,310.982071,0.0
-50.0,50,311.85739,0.0
-50.0,50,312.771471,0.0
-50.0,50,313.699791,0.0
-50.0,50,320.481956,0.0
-50.0,50,321.340301,0.0
-50.0,50,322.217517,0.0
-50.0,50,323.095808,0.0
-50.0,50,323.973729,0.0
-50.0,50,324.880308,0.0
-50.0,50,325.803545,0.0
-50.0,50,326.687321,0.0
-50.0,50,327.57159,0.0
-50.0,50,328.467886,0.0
-50.0,50,336.231467,0.0
-50.0,50,337.113071,0.0
-50.0,50,337.993972,0.0
-50.0,50,338.936347,0.0
-50.0,50,339.845441,0.0
-50.0,50,340.709333,0.0
-50.0,50,341.583095,0.0
-50.0,50,342.459936,0.0
-50.0,50,343.339445,0.0
-50.0,50,344.230444,0.0
-50.0,50,351.016384,0.0
-50.0,50,351.863694,0.0
-50.0,50,352.758096,0.0
-50.0,50,353.647369,0.0
-50.0,50,354.540151,0.0
-50.0,50,355.397575,0.0
-50.0,50,356.255602,0.0
-50.0,50,357.196633,0.0
-50.0,50,358.060819,0.0
-50.0,50,358.970213,0.0
-50.0,50,365.713351,0.0
-50.0,50,366.551835,0.0
-50.0,50,367.434484,0.0
-50.0,50,368.289969,0.0
-50.0,50,369.154952,0.0
-50.0,50,370.918844,0.0
-50.0,50,371.80302,0.0
-50.0,50,372.685814,0.0
-50.0,50,373.530133,0.0
-50.0,50,374.41264,0.0
-50.0,50,375.306795,0.0
-50.0,50,382.088748,0.0
-50.0,50,382.956178,0.0
-50.0,50,383.808235,0.0
-50.0,50,384.645185,0.0
-50.0,50,385.499268,0.0
-50.0,50,386.380253,0.0
-50.0,50,387.256239,0.0
-50.0,50,388.142164,0.0
-50.0,50,389.023924,0.0
-50.0,50,389.913037,0.0
-50.0,50,396.701156,0.0
-50.0,50,397.584353,0.0
-50.0,50,398.442296,0.0
-50.0,50,399.335575,0.0
-50.0,50,400.196447,0.0
-50.0,50,401.051255,0.0
-50.0,50,401.93289,0.0
-50.0,50,402.803965,0.0
-50.0,50,403.717099,0.0
-50.0,50,405.390291,0.0
-50.0,50,412.162824,0.0
-50.0,50,413.081031,0.0
-50.0,50,413.956872,0.0
-50.0,50,414.784239,0.0
-50.0,50,415.686689,0.0
-50.0,50,416.57532,0.0
-50.0,50,417.479839,0.0
-50.0,50,418.363193,0.0
-50.0,50,419.206843,0.0
-50.0,50,420.143906,0.0
-50.0,50,426.892149,0.0
-50.0,50,427.751455,0.0
-50.0,50,428.632315,0.0
-50.0,50,429.514061,0.0
-50.0,50,430.387326,0.0
-50.0,50,431.253402,0.0
-50.0,50,432.097442,0.0
-50.0,50,432.970525,0.0
-50.0,50,433.812086,0.0
-50.0,50,434.688246,0.0
-50.0,50,441.395584,0.0
-50.0,50,442.334249,0.0
-50.0,50,443.22997,0.0
-50.0,50,444.107311,0.0
-50.0,50,445.818184,0.0
-50.0,50,446.685423,0.0
-50.0,50,447.53437,0.0
-50.0,50,448.405714,0.0
-50.0,50,449.234543,0.0
-50.0,50,450.074486,0.0
-50.0,50,450.932237,0.0
-50.0,50,457.654591,0.0
-50.0,50,458.551489,0.0
-50.0,50,459.402196,0.0
-50.0,50,460.274753,0.0
-50.0,50,461.116798,0.0
-50.0,50,461.971148,0.0
-50.0,50,462.828875,0.0
-50.0,50,463.689629,0.0
-50.0,50,464.525233,0.0
-50.0,50,465.404264,0.0
-50.0,50,472.157771,0.0
-50.0,50,473.006492,0.0
-50.0,50,473.860857,0.0
-50.0,50,474.721124,0.0
-50.0,50,475.557337,0.0
-50.0,50,476.399481,0.0
-50.0,50,477.226442,0.0
-50.0,50,478.080935,0.0
-50.0,50,479.862696,0.0
-50.0,50,480.738874,0.0
-50.0,50,487.508715,0.0
-50.0,50,488.36298,0.0
-50.0,50,489.212546,0.0
-50.0,50,490.053216,0.0
-50.0,50,490.927192,0.0
-50.0,50,491.789404,0.0
-50.0,50,492.636735,0.0
-50.0,50,493.494694,0.0
-50.0,50,494.39933,0.0
-50.0,50,495.253694,0.0
-50.0,50,502.04452,0.0
-50.0,50,502.91517,0.0
-50.0,50,503.778249,0.0
-50.0,50,504.610531,0.0
-50.0,50,505.466782,0.0
-50.0,50,506.32578,0.0
-50.0,50,507.170886,0.0
-50.0,50,508.000763,0.0
-50.0,50,508.874023,0.0
-50.0,50,509.762984,0.0
-50.0,50,510.603155,0.0
-50.0,50,517.333403,0.0
-50.0,50,518.186344,0.0
-50.0,50,519.868571,0.0
-50.0,50,520.717548,0.0
-50.0,50,521.57349,0.0
-50.0,50,522.41877,0.0
-50.0,50,523.296264,0.0
-50.0,50,524.180088,0.0
-50.0,50,525.01857,0.0
-50.0,50,525.89125,0.0
-50.0,50,532.584385,0.0
-50.0,50,533.44321,0.0
-50.0,50,534.301075,0.0
-50.0,50,535.151067,0.0
-50.0,50,536.034433,0.0
-50.0,50,536.895035,0.0
-50.0,50,537.7593,0.0
-50.0,50,538.622819,0.0
