#{"t_start": 1649995609.6127987, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-50.0,50,1.509964,0.0
-50.0,50,2.411586,0.0
-50.0,50,3.448151,0.0
-50.0,50,4.412268,0.0
-50.0,50,5.619395,0.0
-50.0,50,6.626837,0.0
-50.0,50,7.592161,0.0
-50.0,50,8.690808,0.0
-50.0,50,9.634233,0.0
-50.0,50,10.534706,0.0
-50.0,50,17.304274,0.0
-50.0,50,18.464238,0.0
-50.0,50,19.359914,0.0
-50.0,50,20.463717,0.0
-50.0,50,21.650046,0.0
-50.0,50,22.899278,0.0
-50.0,50,23.81011,0.0
-50.0,50,24.752816,0.0
-50.0,50,26.018465,0.0
-50.0,50,27.160275,0.0
-50.0,50,34.144531,0.0
-50.0,50,35.065739,0.0
-50.0,50,36.200189,0.0
-50.0,50,37.099625,0.0
-50.0,50,38.050436,0.0
-50.0,50,40.044505,0.0
-50.0,50,40.940545,0.0
-50.0,50,41.8425,0.0
-50.0,50,43.194025,0.0
-50.0,50,44.087828,0.0
-50.0,50,50.883987,0.0
-50.0,50,52.120196,0.0
-50.0,50,53.108781,0.0
-50.0,50,54.256423,0.0
-50.0,50,55.170051,0.0
-50.0,50,56.041016,0.0
-50.0,50,57.346484,0.0
-50.0,50,58.435915,0.0
-50.0,50,59.31878,0.0
-50.0,50,60.410581,0.0
-50.0,50,67.241208,0.0
-50.0,50,68.142224,0.0
-50.0,50,69.053213,0.0
-50.0,50,70.269933,0.0
-50.0,50,71.163308,0.0
-50.0,50,72.258452,0.0
-50.0,50,73.203882,0.0
-50.0,50,74.142179,0.0
-50.0,50,75.057464,0.0
-50.0,50,76.211688,0.0
-50.0,50,78.423079,0.0
-50.0,50,85.338938,0.0
-50.0,50,86.431979,0.0
-50.0,50,87.354477,0.0
-50.0,50,88.557986,0.0
-50.0,50,89.50136,0.0
-50.0,50,90.425236,0.0
-50.0,50,91.605592,0.0
-50.0,50,92.579586,0.0
-50.0,50,93.510629,0.0
-50.0,50,94.444198,0.0
-50.0,50,101.148454,0.0
-50.0,50,102.340457,0.0
-50.0,50,103.253627,0.0
-50.0,50,104.142106,0.0
-50.0,50,105.253387,0.0
-50.0,50,106.209935,0.0
-50.0,50,107.144039,0.0
-50.0,50,108.229763,0.0
-50.0,50,109.620386,0.0
-50.0,50,110.760875,0.0
-50.0,50,117.758177,0.0
-50.0,50,119.004148,0.0
-50.0,50,119.955154,0.0
-50.0,50,120.907092,0.0
-50.0,50,123.122253,0.0
-50.0,50,124.06936,0.0
-50.0,50,125.006461,0.0
-50.0,50,125.938986,0.0
-50.0,50,126.898803,0.0
-50.0,50,127.94996,0.0
-50.0,50,135.034628,0.0
-50.0,50,136.250652,0.0
-50.0,50,137.143901,0.0
-50.0,50,138.062825,0.0
-50.0,50,139.284821,0.0
-50.0,50,140.23566,0.0
-50.0,50,141.264033,0.0
-50.0,50,142.185333,0.0
-50.0,50,143.069085,0.0
-50.0,50,144.011044,0.0
-50.0,50,145.097308,0.0
-50.0,50,151.907446,0.0
-50.0,50,152.799154,0.0
-50.0,50,154.071438,0.0
-50.0,50,155.114487,0.0
-50.0,50,156.147075,0.0
-50.0,50,157.113374,0.0
-50.0,50,158.011202,0.0
-50.0,50,159.193808,0.0
-50.0,50,161.003664,0.0
-50.0,50,162.218885,0.0
-50.0,50,168.989011,0.0
-50.0,50,169.96594,0.0
-50.0,50,171.099732,0.0
-50.0,50,172.07356,0.0
-50.0,50,173.22898,0.0
-50.0,50,174.364403,0.0
-50.0,50,175.281229,0.0
-50.0,50,176.189323,0.0
-50.0,50,177.078971,0.0
-50.0,50,178.07473,0.0
-50.0,50,185.239836,0.0
-50.0,50,186.662723,0.0
-50.0,50,187.686871,0.0
-50.0,50,188.568656,0.0
-50.0,50,189.500276,0.0
-50.0,50,190.541164,0.0
-50.0,50,191.900823,0.0
-50.0,50,192.792214,0.0
-50.0,50,193.736722,0.0
-50.0,50,194.680993,0.0
-50.0,50,201.762489,0.0
-50.0,50,202.82635,0.0
-50.0,50,203.756461,0.0
-50.0,50,205.718104,0.0
-50.0,50,206.621335,0.0
-50.0,50,207.618244,0.0
-50.0,50,208.580848,0.0
-50.0,50,209.752481,0.0
-50.0,50,210.914081,0.0
-50.0,50,211.918767,0.0
-50.0,50,213.003752,0.0
-50.0,50,220.087135,0.0
-50.0,50,221.021201,0.0
-50.0,50,221.915949,0.0
-50.0,50,223.143969,0.0
-50.0,50,224.094554,0.0
-50.0,50,225.063073,0.0
-50.0,50,225.994068,0.0
-50.0,50,226.880162,0.0
-50.0,50,228.106931,0.0
-50.0,50,229.103872,0.0
-50.0,50,236.174351,0.0
-50.0,50,237.224608,0.0
-50.0,50,238.179761,0.0
-50.0,50,239.178432,0.0
-50.0,50,240.152681,0.0
-50.0,50,241.067102,0.0
-50.0,50,242.499021,0.0
-50.0,50,244.594636,0.0
-50.0,50,245.529194,0.0
-50.0,50,246.610722,0.0
-50.0,50,253.482337,0.0
-50.0,50,254.41855,0.0
-50.0,50,255.351149,0.0
-50.0,50,256.275185,0.0
-50.0,50,257.164043,0.0
-50.0,50,258.062141,0.0
-50.0,50,258.962162,0.0
-50.0,50,259.93218,0.0
-50.0,50,260.85522,0.0
-50.0,50,262.029551,0.0
-50.0,50,268.850628,0.0
-50.0,50,270.05016,0.0
-50.0,50,270.97145,0.0
-50.0,50,271.967859,0.0
-50.0,50,273.054489,0.0
-50.0,50,274.56939,0.0
-50.0,50,276.358774,0.0
-50.0,50,277.305351,0.0
-50.0,50,278.482576,0.0
-50.0,50,280.054317,0.0
-50.0,50,281.013327,0.0
-50.0,50,287.812361,0.0
-50.0,50,290.033621,0.0
-50.0,50,290.971023,0.0
-50.0,50,291.911607,0.0
-50.0,50,292.839671,0.0
-50.0,50,293.827868,0.0
-50.0,50,294.75951,0.0
-50.0,50,295.912448,0.0
-50.0,50,296.847453,0.0
-50.0,50,297.805699,0.0
-50.0,50,304.542012,0.0
-50.0,50,305.480446,0.0
-50.0,50,306.460861,0.0
-50.0,50,307.644378,0.0
-50.0,50,308.625223,0.0
-50.0,50,309.84256,0.0
-50.0,50,310.864632,0.0
-50.0,50,311.842238,0.0
-50.0,50,312.796898,0.0
-50.0,50,313.810575,0.0
-50.0,50,320.572708,0.0
-50.0,50,321.7173,0.0
-50.0,50,322.666833,0.0
-50.0,50,323.583377,0.0
-50.0,50,324.70274,0.0
-50.0,50,325.887224,0.0
-50.0,50,327.735156,0.0
-50.0,50,328.601354,0.0
-50.0,50,329.619313,0.0
-50.0,50,330.514856,0.0
