#{"t_start": 1650841530.5336752, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-430.107243,50,0.965104,0.0
-423.251504,50,1.893946,0.0
-598.351573,50,2.805988,0.0
-343.510253,50,3.759154,0.0
-1047.122123,50,4.736652,0.0
-821.080942,50,5.748192,0.0
-460.620921,50,6.719919,0.0
-881.98697,50,7.633476,0.0
-999.659915,50,8.541742,0.0
-464.199501,50,9.483739,0.0
-1051.035482,50,16.150999,0.0
-426.68279,50,17.098657,0.0
-561.79116,50,18.003116,0.0
-440.574705,50,18.943313,0.0
-1044.841036,50,19.888238,0.0
-495.447142,50,20.883168,0.0
-999.735822,50,21.741999,0.0
-426.536503,50,22.669632,0.0
-352.147954,50,23.660756,0.0
-506.248012,50,24.603489,0.0
-687.54117,50,31.352852,0.0
-1041.300955,50,32.274585,0.0
-1070.328522,50,33.181666,0.0
-870.873882,50,34.121953,0.0
-523.285022,50,35.04555,0.0
-581.65483,50,36.967959,0.0
-957.18408,50,37.83352,0.0
-593.613615,50,38.719722,0.0
-908.348398,50,39.640373,0.0
-858.305791,50,40.521855,0.0
-402.674399,50,47.279289,0.0
-419.361823,50,48.207578,0.0
-617.730601,50,49.155575,0.0
-374.131217,50,50.11985,0.0
-323.719664,50,51.005636,0.0
-960.816736,50,51.91335,0.0
-423.886015,50,52.878285,0.0
-500.45023,50,53.810669,0.0
-992.078098,50,54.783303,0.0
-533.103512,50,55.728421,0.0
-737.884594,50,62.389038,0.0
-369.77572,50,63.348593,0.0
-389.79283,50,64.28754,0.0
-272.204608,50,65.246988,0.0
-259.824428,50,66.166185,0.0
-398.925424,50,67.09072,0.0
-386.726161,50,68.080221,0.0
-523.130024,50,69.027343,0.0
-436.843786,50,69.896543,0.0
-414.944686,50,70.822709,0.0
-422.374766,50,72.713467,0.0
-363.616028,50,79.415299,0.0
-690.180862,50,80.359699,0.0
-588.657654,50,81.287446,0.0
-431.879731,50,82.240869,0.0
-730.635564,50,83.164117,0.0
-466.999148,50,84.102773,0.0
-588.436959,50,85.002212,0.0
-222.859691,50,85.962336,0.0
-510.537018,50,86.887134,0.0
-564.069755,50,87.802057,0.0
-540.071863,50,94.436544,0.0
-529.765639,50,95.368779,0.0
-612.767674,50,96.505838,0.0
-389.914322,50,97.460685,0.0
-271.676439,50,98.401774,0.0
-453.217592,50,99.287011,0.0
-854.807337,50,100.183673,0.0
-430.235786,50,101.10867,0.0
-292.798857,50,102.084309,0.0
-235.74727,50,102.970634,0.0
-745.929996,50,109.58726,0.0
-523.903087,50,110.495774,0.0
-277.644028,50,111.41971,0.0
-323.839945,50,112.361509,0.0
-351.929253,50,114.332078,0.0
-339.226127,50,115.235673,0.0
-358.147867,50,116.202625,0.0
-504.43501,50,117.061831,0.0
-604.527842,50,117.931031,0.0
-338.43692,50,118.857158,0.0
-307.221511,50,125.627706,0.0
-253.098088,50,126.504341,0.0
-514.749783,50,127.409711,0.0
-349.191568,50,128.341271,0.0
-362.114452,50,129.314296,0.0
-390.159744,50,130.301895,0.0
-647.850623,50,131.189593,0.0
-348.739127,50,132.088592,0.0
-513.875016,50,133.004459,0.0
-244.521861,50,133.924291,0.0
-387.575165,50,134.865968,0.0
-404.339437,50,141.548614,0.0
-297.227895,50,142.463255,0.0
-263.628985,50,143.415221,0.0
-718.383726,50,144.303074,0.0
-781.835132,50,145.231734,0.0
-76.196133,15,145.516834,1.0
-292.665366,50,146.406469,0.0
-693.150854,50,147.307061,0.0
-545.275698,50,149.062669,0.0
-348.845164,50,150.00174,0.0
-595.605417,50,150.878987,0.0
-233.400489,50,157.491843,0.0
-274.377642,50,158.431762,0.0
-540.014869,50,159.344073,0.0
-660.781382,50,160.221137,0.0
-397.775468,41,160.963384,1.0
-346.671513,50,161.893201,0.0
-376.924772,50,162.808768,0.0
-305.333976,50,163.713226,0.0
-607.512267,50,164.608914,0.0
-265.796483,50,165.512805,0.0
-374.73085,33,171.851336,1.0
-300.695232,50,172.794172,0.0
-637.99587,50,173.701228,0.0
-313.384525,50,174.610183,0.0
-344.873208,50,175.499934,0.0
-266.379771,50,176.356529,0.0
-302.442127,50,177.241777,0.0
-558.721286,50,178.092236,0.0
-409.213647,35,178.692748,1.0
-297.846994,50,179.564313,0.0
-226.134578,50,180.462345,0.0
-342.989222,50,187.043115,0.0
-254.397795,50,187.893794,0.0
-474.969188,50,189.475353,0.0
-260.925036,50,190.394722,0.0
-610.889906,50,191.261369,0.0
-376.782458,50,192.116282,0.0
-250.902595,41,192.83755,1.0
-381.182024,50,193.719191,0.0
