#{"t_start": 1649824122.358444, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-24.335093,50,1.764843,0.0
-22.847971,50,2.596746,0.0
-40.805577,50,3.433053,0.0
-32.802649,50,4.396697,0.0
-29.338313,50,5.481441,0.0
-35.383348,50,6.331023,0.0
-23.279623,50,7.16322,0.0
-20.828935,50,8.207008,0.0
-51.997791,50,9.077167,0.0
-36.812883,50,9.930064,0.0
-22.133862,50,16.560037,0.0
-26.140915,50,17.476553,0.0
-33.558404,50,18.316634,0.0
-14.92308,50,19.390208,0.0
-14.879953,50,20.433307,0.0
-16.044344,50,21.613672,0.0
-30.865995,50,22.446677,0.0
-28.435989,50,23.28657,0.0
-23.7921,50,24.442639,0.0
-33.643063,50,25.541367,0.0
-30.314267,50,32.413766,0.0
-26.57058,50,33.264584,0.0
-22.994081,50,34.417129,0.0
-21.546861,50,35.273438,0.0
-25.19019,50,36.156528,0.0
-23.337457,50,38.110479,0.0
-29.178528,50,38.968025,0.0
-25.015103,50,39.839306,0.0
-22.9644,50,41.058316,0.0
-32.076398,50,41.911742,0.0
-26.890118,50,48.546588,0.0
-19.123957,50,49.679511,0.0
-26.26743,50,50.741805,0.0
-22.378859,50,51.632187,0.0
-31.73142,50,52.506907,0.0
-28.751026,50,53.376689,0.0
-21.696585,50,54.616626,0.0
-22.07017,50,55.560502,0.0
-21.014682,50,56.427538,0.0
-28.056741,50,57.521551,0.0
-29.00138,50,64.14598,0.0
-19.560535,50,65.000602,0.0
-28.227227,50,65.896436,0.0
-25.386482,50,66.992857,0.0
-24.731132,50,67.858612,0.0
-23.59115,50,68.991154,0.0
-21.829418,50,69.831321,0.0
-28.278504,50,70.679717,0.0
-19.116013,50,71.539617,0.0
-20.953121,50,72.802841,0.0
-26.119601,50,75.260926,0.0
-20.850235,50,82.101677,0.0
-25.940451,50,83.212268,0.0
-23.438648,50,84.086656,0.0
-28.248952,50,85.34812,0.0
-19.388132,50,86.252312,0.0
-25.737493,50,87.394315,0.0
-14.147707,50,88.324249,0.0
-22.028356,50,89.213089,0.0
-19.320116,50,90.090932,0.0
-25.462148,50,90.944407,0.0
-18.658739,50,97.689145,0.0
-22.660688,50,98.867748,0.0
-23.068582,50,99.79897,0.0
-22.344309,50,100.726203,0.0
-23.868947,50,101.821169,0.0
-25.079956,50,102.73566,0.0
-20.930098,50,103.601608,0.0
-12.236632,50,104.607327,0.0
-19.401064,50,105.919918,0.0
-19.723095,50,107.093997,0.0
-23.276989,50,113.945613,0.0
-9.591151,50,115.515987,0.0
-19.20263,50,116.89036,0.0
-19.701748,50,117.811762,0.0
-18.166517,50,119.946369,0.0
-20.36216,50,120.866821,0.0
-23.597777,50,122.008918,0.0
-21.282678,50,122.933841,0.0
-14.319137,50,124.123281,0.0
-22.067589,50,125.200579,0.0
-13.670396,50,132.586182,0.0
-24.870371,50,133.483496,0.0
-19.924182,50,134.596925,0.0
-17.233049,50,135.498233,0.0
-20.906601,50,136.863434,0.0
-15.451347,50,137.769102,0.0
-15.770937,50,138.667129,0.0
-18.613817,50,139.530694,0.0
-23.110355,50,140.408983,0.0
-22.496328,50,141.334626,0.0
-9.955554,50,142.996779,0.0
-16.922194,50,149.710873,0.0
-14.723386,50,150.655131,0.0
-15.678308,50,151.82557,0.0
