#{"t_start": 1649828312.2589967, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-5.456516,50,1.914724,0.0
-6.469857,50,2.87612,0.0
-9.954844,50,3.922838,0.0
-13.731578,50,5.046999,0.0
-7.466588,50,6.088265,0.0
-9.442367,50,7.247276,0.0
-11.244231,50,8.460806,0.0
-7.316091,50,9.632896,0.0
-8.558191,50,10.879703,0.0
-10.293304,50,12.048211,0.0
-7.18727,50,18.952069,0.0
-10.432435,50,19.937304,0.0
-9.903782,50,20.871766,0.0
-14.780816,50,21.903786,0.0
-7.27424,50,23.032004,0.0
-7.18339,50,24.107076,0.0
-9.703175,50,25.065245,0.0
-8.364926,50,26.075207,0.0
-8.801849,50,27.215812,0.0
-13.774087,50,28.441219,0.0
-10.835481,50,35.431242,0.0
-10.217488,50,36.564653,0.0
-6.025368,50,37.736972,0.0
-13.35764,50,38.95917,0.0
-8.357166,50,40.054147,0.0
-10.356605,50,42.158895,0.0
-8.480351,50,43.241323,0.0
-5.965055,50,44.279984,0.0
-11.25933,50,45.425238,0.0
-10.753247,50,46.390296,0.0
-7.53946,50,53.19567,0.0
-7.744404,50,54.254231,0.0
-8.466858,50,55.304711,0.0
-8.718894,50,56.334018,0.0
-10.282777,50,57.421587,0.0
-8.364796,50,58.452702,0.0
-8.887255,50,59.542356,0.0
-6.687497,50,60.602839,0.0
-7.917674,50,61.795251,0.0
-9.035178,50,63.011118,0.0
-10.643004,50,69.859521,0.0
-14.035759,50,71.162642,0.0
-10.398036,50,72.279916,0.0
-13.11692,50,73.250715,0.0
-6.765264,50,74.261344,0.0
-10.015671,50,75.265383,0.0
-7.623034,50,76.49555,0.0
-12.23824,50,77.666385,0.0
-10.600616,50,78.793355,0.0
-10.175521,50,79.878641,0.0
-7.619014,50,81.824383,0.0
-8.923296,50,88.722074,0.0
-8.151436,50,89.941249,0.0
-6.819208,50,91.150691,0.0
-8.741006,50,92.237529,0.0
-10.503066,50,93.528315,0.0
-6.852166,50,94.575775,0.0
-8.221048,50,95.676587,0.0
-9.495507,50,96.773203,0.0
-6.18685,50,97.906629,0.0
-11.202863,50,98.892084,0.0
-9.559283,50,105.768719,0.0
-9.254882,50,106.962451,0.0
-12.285804,50,108.135961,0.0
-11.006472,50,109.41467,0.0
-11.36356,50,110.464823,0.0
-10.520501,50,111.619527,0.0
-5.805855,50,112.651615,0.0
-11.83034,50,113.844681,0.0
-9.781006,50,115.034655,0.0
-8.759185,50,116.2007,0.0
-5.0975,50,122.916952,0.0
-63.934532,50,123.84598,0.0
-6.482641,50,124.943537,0.0
-5.589859,50,126.100036,0.0
