#{"t_start": 1649820676.4619455, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-12.954975,50,1.500911,0.0
-31.149537,50,2.335891,0.0
-16.592546,50,3.175396,0.0
-19.501998,50,4.012231,0.0
-23.790332,50,4.880309,0.0
-18.502893,50,5.762987,0.0
-18.01105,50,6.623721,0.0
-13.813419,50,7.474188,0.0
-35.203702,50,8.303574,0.0
-32.05797,50,9.154112,0.0
-16.6777,50,15.773941,0.0
-18.848833,50,16.632328,0.0
-27.326017,50,17.463746,0.0
-17.19604,50,18.293102,0.0
-17.961483,50,19.172932,0.0
-21.997619,50,20.092462,0.0
-33.630576,50,20.933732,0.0
-20.230453,50,21.801147,0.0
-16.680287,50,22.688366,0.0
-31.552368,50,23.527016,0.0
-21.801535,50,30.127823,0.0
-19.289918,50,30.999695,0.0
-20.760074,50,31.909856,0.0
-29.683103,50,32.744199,0.0
-10.974734,50,33.571849,0.0
-27.50754,50,35.268207,0.0
-27.639125,50,36.140587,0.0
-22.620048,50,36.947044,0.0
-20.976032,50,37.769921,0.0
-20.610609,50,38.686236,0.0
-15.565385,50,45.33758,0.0
-21.548482,50,46.213455,0.0
-10.842402,50,47.108193,0.0
-16.019587,50,48.008163,0.0
-26.45468,50,48.834614,0.0
-22.457415,50,49.65128,0.0
-17.314011,50,50.486776,0.0
-14.56581,50,51.375002,0.0
-15.406728,50,52.214711,0.0
-7.554338,50,53.028043,0.0
-20.726874,50,59.662416,0.0
-16.347819,50,60.494809,0.0
-20.886174,50,61.290995,0.0
-17.315559,50,62.154602,0.0
-15.986109,50,63.011921,0.0
-23.463102,50,63.83066,0.0
-15.000989,50,64.654198,0.0
-33.376931,50,65.469619,0.0
-9.950787,50,66.325514,0.0
-16.625757,50,67.182287,0.0
-20.579904,50,68.906325,0.0
-8.055888,50,75.638648,0.0
-13.023587,50,76.512057,0.0
-11.129898,50,77.341453,0.0
-25.968529,50,78.178981,0.0
-14.76837,50,79.169553,0.0
-15.742226,50,80.216982,0.0
-7.817096,50,81.050162,0.0
-11.373021,50,81.871696,0.0
-16.591649,50,82.674766,0.0
-17.161356,50,83.583569,0.0
-11.636368,50,90.045841,0.0
-13.159207,50,90.976341,0.0
-19.141394,50,91.821501,0.0
-10.565293,50,92.62937,0.0
-19.081529,50,93.438694,0.0
-17.507573,50,94.248717,0.0
-6.812965,50,95.057845,0.0
-9.357894,50,95.880252,0.0
-19.360733,50,96.707371,0.0
-11.091217,50,97.530725,0.0
-13.839224,50,103.999684,0.0
-8.331491,50,104.841271,0.0
-11.176996,50,105.650196,0.0
-14.652482,50,106.480066,0.0
-8.461634,50,108.178619,0.0
-12.66386,50,109.070847,0.0
-23.047379,50,109.936696,0.0
-8.936425,50,110.767798,0.0
-6.864859,50,111.585027,0.0
-14.11606,50,112.401412,0.0
-5.637275,50,118.917235,0.0
-13.384258,50,119.757066,0.0
-4.099437,16,120.027651,1.0
-6.995226,50,120.849896,0.0
-11.37062,50,121.667916,0.0
-9.387576,50,122.474221,0.0
-5.06746,50,123.298876,0.0
-6.513527,50,124.158088,0.0
-9.888175,50,125.018133,0.0
-11.668231,50,125.863346,0.0
-7.857869,50,126.748188,0.0
-13.2508,50,133.183774,0.0
-12.951786,50,133.986398,0.0
-10.052158,50,134.946085,0.0
-10.204248,50,135.778767,0.0
-7.438763,50,136.608188,0.0
-10.211584,50,137.422954,0.0
-6.265114,50,138.238035,0.0
-7.958308,50,139.10574,0.0
-17.904904,50,140.819383,0.0
-6.101601,50,141.649862,0.0
-8.590745,50,142.46485,0.0
-6.261538,50,149.047563,0.0
-5.538508,50,149.88637,0.0
-15.556605,50,150.706063,0.0
-6.007211,50,151.614505,0.0
-9.630408,50,152.475001,0.0
-7.815738,50,153.342202,0.0
-9.27381,50,154.220971,0.0
-7.199346,50,155.103515,0.0
