#{"t_start": 1650868202.5280514, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-6.334327,50,1.398234,0.0
-13.323792,50,2.269182,0.0
-8.797771,50,3.135093,0.0
-13.408815,50,4.012129,0.0
-9.974571,50,4.869727,0.0
-13.707873,50,5.739836,0.0
-5.96202,50,6.595311,0.0
-19.344647,50,7.471772,0.0
-9.386681,50,8.299455,0.0
-14.149452,50,9.135231,0.0
-13.031068,50,15.788472,0.0
-12.811438,50,16.65037,0.0
-9.344205,50,17.508498,0.0
-11.175911,50,18.39384,0.0
-12.962496,50,19.268883,0.0
-17.139338,50,20.107687,0.0
-12.040089,50,21.01193,0.0
-15.169224,50,21.890771,0.0
-11.952929,50,22.802132,0.0
-15.070574,50,23.687417,0.0
-7.470251,50,30.354574,0.0
-5.994955,50,31.184663,0.0
-9.281072,50,32.08354,0.0
-10.136539,50,32.969768,0.0
-12.207076,50,33.88729,0.0
-8.57938,50,36.043958,0.0
-14.748706,50,36.909453,0.0
-11.360932,50,37.755261,0.0
-7.533628,50,38.635993,0.0
-14.493316,50,39.493867,0.0
-12.803285,50,46.138414,0.0
-14.33377,50,47.063414,0.0
-9.063764,50,47.916446,0.0
-8.386636,50,48.801154,0.0
-11.30455,50,49.69456,0.0
-7.808371,50,50.559019,0.0
-5.666431,50,51.451614,0.0
-13.766845,50,52.357445,0.0
-12.873715,50,53.251862,0.0
-10.786457,50,54.15603,0.0
-7.703304,50,60.870454,0.0
-11.540998,50,61.769828,0.0
-6.503929,50,62.659079,0.0
-7.257354,50,63.617506,0.0
-8.819618,50,64.516063,0.0
-6.398837,50,65.461023,0.0
-5.79582,50,66.438062,0.0
-8.001024,50,67.318757,0.0
-13.011303,50,68.251015,0.0
-8.955381,50,69.163318,0.0
-5.707266,50,71.152428,0.0
-7.514949,50,77.809853,0.0
-8.548437,50,78.766454,0.0
-5.092719,50,79.708266,0.0
-10.700919,50,80.628592,0.0
-6.979875,50,81.55647,0.0
-8.261462,50,82.477185,0.0
-7.284689,50,83.38441,0.0
-7.727622,50,84.401415,0.0
-11.824796,50,85.285637,0.0
-5.468187,50,86.242216,0.0
-8.93355,50,92.931905,0.0
-4.65665,50,93.936143,0.0
-15.838058,50,94.777714,0.0
-9.409067,50,95.703985,0.0
-8.81354,50,96.667713,0.0
-6.588821,50,97.559694,0.0
-12.068473,50,98.484501,0.0
-11.085594,50,99.37907,0.0
-4.699899,50,100.337189,0.0
-11.890775,50,101.262981,0.0
-8.395139,50,107.921436,0.0
