#{"t_start": 1651022871.453335, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-13.026262,50,1.404309,0.0
-9.613332,50,2.277039,0.0
-35.602661,50,3.150184,0.0
-18.189671,50,4.090071,0.0
-17.799847,50,4.979699,0.0
-10.700063,50,5.872218,0.0
-11.463634,50,6.824008,0.0
-7.309033,50,8.038278,0.0
-26.438145,50,8.947761,0.0
-32.0821,50,9.82258,0.0
-9.412434,50,16.818099,0.0
-16.629214,50,17.783196,0.0
-28.203645,50,18.714992,0.0
-13.763721,50,19.621299,0.0
-7.632037,50,20.553033,0.0
-35.139018,50,21.631449,0.0
-16.69583,50,22.565108,0.0
-37.450915,50,23.499833,0.0
-24.334814,50,24.60356,0.0
-15.355127,50,25.495986,0.0
-10.358901,50,32.123207,0.0
-8.772835,50,33.079322,0.0
-21.166342,50,34.012327,0.0
-6.861187,50,34.969745,0.0
-25.807188,50,35.899843,0.0
-22.484068,50,37.865338,0.0
-7.256695,50,38.824589,0.0
-14.891748,50,39.769448,0.0
-13.094051,50,40.70776,0.0
-16.647367,50,41.65888,0.0
-12.258388,50,48.449496,0.0
-12.987867,50,49.391924,0.0
-9.173956,50,50.359212,0.0
-15.071891,50,51.329072,0.0
-16.74367,50,52.319088,0.0
-17.027986,50,53.222906,0.0
-24.054784,50,54.181511,0.0
-15.171046,50,55.105713,0.0
-8.044606,50,56.012425,0.0
-19.466787,50,56.98215,0.0
-7.680035,50,63.772318,0.0
-23.619726,50,64.698652,0.0
-7.052121,50,65.622136,0.0
-8.380126,50,66.592045,0.0
-12.181185,50,67.598519,0.0
-9.655438,50,68.54602,0.0
-8.645245,50,69.524202,0.0
-12.217704,50,70.469774,0.0
-6.062615,50,71.411582,0.0
-24.399855,50,72.493915,0.0
-13.191823,50,74.631115,0.0
-6.412298,50,81.381521,0.0
-16.361279,50,82.380191,0.0
-8.600544,50,83.295913,0.0
-10.04306,50,84.270721,0.0
-9.072674,50,85.239568,0.0
-9.204659,50,86.144928,0.0
-7.590937,50,87.119978,0.0
-9.844135,50,88.013295,0.0
-4.87035,50,88.894067,0.0
-16.9178,50,89.792181,0.0
-7.605391,50,96.63342,0.0
-4.684166,50,97.545223,0.0
-4.333171,50,98.487967,0.0
-9.790732,50,99.435635,0.0
-7.889158,50,100.362489,0.0
-7.096142,50,101.293157,0.0
-6.033174,50,102.20568,0.0
-15.35004,50,103.175573,0.0
-11.881421,50,104.301868,0.0
-7.766651,50,105.236499,0.0
-14.917661,50,112.047101,0.0
-6.766251,50,112.987048,0.0
-8.694331,50,113.923346,0.0
-8.005622,50,114.840055,0.0
-22.950266,50,116.657078,0.0
-6.517117,50,117.51459,0.0
-10.779646,50,118.405891,0.0
-7.709474,50,119.29191,0.0
-9.43658,50,120.526762,0.0
-9.195668,50,121.484277,0.0
-4.384212,50,128.275301,0.0
-4.825233,50,129.150666,0.0
-3.519362,50,130.04638,0.0
-6.557831,50,131.033219,0.0
-7.172167,50,131.958219,0.0
-5.479666,50,132.884822,0.0
-6.780518,50,133.753138,0.0
-7.349465,50,134.607914,0.0
-6.945816,50,135.481232,0.0
-8.89037,50,136.354717,0.0
-5.94982,50,137.255811,0.0
-6.197987,50,144.012152,0.0
-5.841597,50,144.868381,0.0
-6.63315,50,145.747883,0.0
-5.697453,50,146.633959,0.0
-14.169463,50,147.708085,0.0
-5.687528,50,148.924038,0.0
-4.952763,50,149.846211,0.0
-14.134157,50,150.811693,0.0
-3.87398,50,152.627919,0.0
-5.564329,50,153.514016,0.0
-2.872307,45,160.260412,1.0
-4.035212,50,161.160115,0.0
-3.677846,50,162.067518,0.0
-6.440085,50,163.053195,0.0
-5.243508,50,163.927144,0.0
-7.320265,50,164.799187,0.0
-5.01284,50,165.736665,0.0
-6.106495,50,166.674696,0.0
-3.091953,50,167.579245,0.0
-2.958728,50,168.490064,0.0
-3.570323,50,175.241802,0.0
-13.981835,50,176.203962,0.0
-5.062778,50,177.152052,0.0
-12.471598,50,178.227563,0.0
-13.804184,50,179.428792,0.0
-4.991336,37,180.12446,1.0
-5.126513,50,181.009179,0.0
-12.3383,50,181.917371,0.0
-13.556509,50,182.793339,0.0
-4.981555,50,183.638942,0.0
-4.957681,50,184.480886,0.0
-6.372909,50,191.228569,0.0
-6.863927,50,192.12432,0.0
-12.861616,50,194.376977,0.0
-3.752659,50,195.256935,0.0
-5.04008,50,196.121081,0.0
-3.590652,50,197.11717,0.0
-4.038211,50,198.008181,0.0
-4.677629,50,198.991377,0.0
-11.975715,50,199.901753,0.0
-11.246351,50,200.81913,0.0
-12.462627,50,207.708366,0.0
-5.336483,50,208.589194,0.0
-14.483532,50,209.611674,0.0
-10.256895,50,210.555883,0.0
-2.688834,50,211.416207,0.0
-4.224918,50,212.283115,0.0
-4.128743,50,213.242285,0.0
-6.229767,50,214.110508,0.0
-3.204899,50,215.009792,0.0
-4.448082,50,215.922366,0.0
-4.931671,50,222.822787,0.0
-2.526738,15,223.214316,1.0
-6.390575,44,224.208493,1.0
-2.63781,50,225.136088,0.0
-4.862903,50,226.118866,0.0
-3.821416,50,227.160122,0.0
-17.98713,50,228.130344,0.0
-6.120669,50,229.011854,0.0
-5.60399,50,230.744479,0.0
-13.949851,50,231.723699,0.0
-0.398357,6,231.832996,1.0
-2.994449,50,232.755919,0.0
-2.931535,50,239.487916,0.0
-2.277421,50,240.378106,0.0
-3.538004,50,241.231468,0.0
-3.376928,50,242.106369,0.0
-5.1324,50,242.973965,0.0
-2.882217,50,244.044554,0.0
-4.9961,50,244.959061,0.0
-6.297961,50,245.85578,0.0
-4.881827,50,246.725628,0.0
-3.174964,50,247.631595,0.0
-3.212209,50,254.335807,0.0
-13.10374,50,255.481592,0.0
-4.094841,50,256.441566,0.0
-3.734731,50,257.278049,0.0
-1.911837,27,257.761454,1.0
-12.321117,50,258.672189,0.0
-3.952389,27,259.121034,1.0
-1.233275,13,259.338311,1.0
-3.372721,50,260.195748,0.0
-5.813579,50,261.134873,0.0
-3.176633,27,261.619828,1.0
-1.881212,29,262.114546,1.0
-2.029793,22,262.519952,1.0
-4.751369,50,263.482474,0.0
-5.18188,50,270.167234,0.0
-3.981051,50,272.223593,0.0
-6.285487,50,273.48928,0.0
-6.343534,50,274.497749,0.0
-1.428178,11,274.731497,1.0
-2.026172,13,275.031384,1.0
-4.73142,39,275.820316,1.0
-14.548582,50,276.761687,0.0
-2.825243,50,277.670101,0.0
-1.226109,16,278.002269,1.0
-3.624905,50,279.101458,0.0
-7.936588,50,279.981238,0.0
-10.432235,50,286.755304,0.0
-4.719146,50,287.67362,0.0
-4.539698,50,288.535521,0.0
-2.376998,33,289.087545,1.0
-6.937721,50,289.963095,0.0
-2.203217,30,290.506189,1.0
-16.417014,50,291.429719,0.0
-16.118744,50,292.313201,0.0
-2.5363,48,293.1225,1.0
-4.628534,50,294.07638,0.0
-2.248422,44,294.892547,1.0
-2.830749,50,295.77586,0.0
-2.530262,50,302.771747,0.0
-3.276607,50,303.651386,0.0
-4.567263,50,304.526753,0.0
-6.661918,50,305.461233,0.0
-24.917028,50,306.476751,0.0
-3.527174,50,308.311465,0.0
-12.734659,50,309.30418,0.0
-2.828834,50,310.16266,0.0
-2.573851,41,310.894876,1.0
-3.505399,50,311.738847,0.0
-3.974322,50,318.479068,0.0
-1.347521,25,318.928947,1.0
-3.663413,49,319.757215,1.0
-1.952468,49,320.634846,1.0
-3.221461,50,321.591837,0.0
-2.151533,50,322.472357,0.0
-6.030968,50,323.33016,0.0
-5.305208,50,324.229546,0.0
-5.963213,50,325.144688,0.0
-3.442217,45,326.171525,1.0
-3.92245,50,327.181853,0.0
-13.184263,50,333.973737,0.0
-4.601486,50,334.980018,0.0
-2.900628,16,335.304194,1.0
-3.871575,50,336.337538,0.0
-4.338386,50,337.263568,0.0
-1.76073,27,337.71954,1.0
-3.236785,50,338.627983,0.0
-1.9536,50,339.492613,0.0
-4.073161,50,340.363027,0.0
-2.547525,50,341.28514,0.0
-4.338246,50,342.355021,0.0
-5.116208,50,349.965294,0.0
-3.589954,50,350.877527,0.0
-4.901681,50,351.860842,0.0
-5.696288,50,352.744535,0.0
-3.790761,50,353.61478,0.0
-3.171962,50,354.457211,0.0
-3.87754,50,355.316107,0.0
-4.607084,50,356.484649,0.0
-1.139767,16,356.822885,1.0
-3.905772,50,357.674318,0.0
-1.756217,39,358.351675,1.0
-3.272646,50,365.20837,0.0
-13.095975,50,366.164777,0.0
-4.519511,50,367.050345,0.0
-1.272138,26,367.570945,1.0
-10.549938,50,368.654484,0.0
-4.641668,50,369.560046,0.0
-3.341558,50,370.482014,0.0
-3.830109,27,370.928616,1.0
-3.035705,50,371.806508,0.0
-1.965295,50,372.688502,0.0
-3.674244,18,373.017108,1.0
-2.376804,50,374.024059,0.0
-1.59228,29,374.524544,1.0
-4.336251,42,381.134245,1.0
-13.039582,50,382.199913,0.0
-3.982802,47,383.030102,1.0
-2.813259,50,383.896188,0.0
-5.153036,50,385.676607,0.0
-1.211852,22,386.090757,1.0
-12.727994,50,387.056117,0.0
-1.572079,16,387.332823,1.0
-2.058936,46,388.263862,1.0
-1.796743,36,388.954699,1.0
-2.378102,50,389.908646,0.0
-2.330686,50,390.775513,0.0
