#{"t_start": 1651015557.1712825, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-12.614842,50,1.483184,0.0
-26.455562,50,2.298245,0.0
-10.748165,50,3.129102,0.0
-9.667632,50,3.957314,0.0
-22.391856,50,4.776211,0.0
-13.563562,50,5.599374,0.0
-16.036071,50,6.40721,0.0
-17.371033,50,7.230885,0.0
-35.409468,50,8.044783,0.0
-27.461157,50,8.862615,0.0
-17.157097,50,15.607735,0.0
-14.48152,50,16.45154,0.0
-22.333925,50,17.2697,0.0
-12.590425,50,18.083061,0.0
-11.38483,50,18.902745,0.0
-17.762259,50,19.716247,0.0
-20.692116,50,20.538248,0.0
-14.715171,50,21.361358,0.0
-21.785599,50,22.2203,0.0
-28.092991,50,23.026118,0.0
-13.771581,50,29.710375,0.0
-16.686271,50,30.580432,0.0
-12.95331,50,31.435155,0.0
-20.182926,50,32.264816,0.0
-10.13398,50,33.091483,0.0
-15.147078,50,34.7442,0.0
-20.71114,50,35.568671,0.0
-15.801471,50,36.370449,0.0
-18.645143,50,37.172016,0.0
-18.089512,50,37.997596,0.0
-11.400853,50,44.636306,0.0
-14.074955,50,45.456127,0.0
-10.192252,50,46.271735,0.0
-17.915734,50,47.096276,0.0
-15.494209,50,47.905852,0.0
-15.23103,50,48.710538,0.0
-16.106406,50,49.526439,0.0
-10.608146,50,50.353804,0.0
-18.901862,50,51.174179,0.0
-9.145563,50,51.973259,0.0
-18.761105,50,58.621216,0.0
-13.878061,50,59.436433,0.0
-13.574175,50,60.232557,0.0
-9.804426,50,61.049035,0.0
-11.262155,50,61.865284,0.0
-16.262931,50,62.690528,0.0
-6.311881,50,63.519337,0.0
-14.189621,50,64.345019,0.0
-11.564639,50,65.151468,0.0
-8.706508,50,65.959913,0.0
-11.523368,50,67.654622,0.0
-10.376681,50,74.297505,0.0
-6.594155,50,75.162259,0.0
-10.228,50,76.02284,0.0
-5.625717,50,76.893126,0.0
-12.052332,50,77.715544,0.0
-11.965104,50,78.577175,0.0
-7.558232,50,79.412458,0.0
-10.583217,50,80.231558,0.0
-12.468936,50,81.034972,0.0
-7.548015,50,81.862241,0.0
-8.602466,50,88.509677,0.0
-8.827699,50,89.329582,0.0
-9.637546,50,90.134431,0.0
-4.582642,50,90.939515,0.0
-7.610788,50,91.745436,0.0
-4.482248,50,92.544999,0.0
-8.869493,50,93.35964,0.0
