#{"t_start": 1649991973.5778759, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-50.0,50,1.484353,0.0
-50.0,50,2.306429,0.0
-50.0,50,3.141728,0.0
-50.0,50,3.980947,0.0
-50.0,50,4.809228,0.0
-50.0,50,5.661969,0.0
-50.0,50,6.486148,0.0
-50.0,50,7.334655,0.0
-50.0,50,8.163348,0.0
-50.0,50,8.991556,0.0
-50.0,50,15.64448,0.0
-50.0,50,16.535954,0.0
-50.0,50,17.380431,0.0
-50.0,50,18.208078,0.0
-50.0,50,19.040643,0.0
-50.0,50,19.883638,0.0
-50.0,50,20.73907,0.0
-50.0,50,21.581268,0.0
-50.0,50,22.45096,0.0
-50.0,50,23.294071,0.0
-50.0,50,29.924157,0.0
-50.0,50,30.785732,0.0
-50.0,50,31.613014,0.0
-50.0,50,32.459944,0.0
-50.0,50,33.301353,0.0
-50.0,50,34.995228,0.0
-50.0,50,35.855391,0.0
-50.0,50,36.672969,0.0
-50.0,50,37.516713,0.0
-50.0,50,38.380571,0.0
-50.0,50,45.059078,0.0
-50.0,50,45.898434,0.0
-50.0,50,46.744648,0.0
-50.0,50,47.593636,0.0
-50.0,50,48.442362,0.0
-50.0,50,49.271655,0.0
-50.0,50,50.116805,0.0
-50.0,50,50.961393,0.0
-50.0,50,51.786795,0.0
-50.0,50,52.612318,0.0
-50.0,50,59.255351,0.0
-50.0,50,60.094689,0.0
-50.0,50,60.918701,0.0
-50.0,50,61.752759,0.0
-50.0,50,62.5992,0.0
-50.0,50,63.41808,0.0
-50.0,50,64.253201,0.0
-50.0,50,65.083304,0.0
-50.0,50,65.922412,0.0
-50.0,50,66.764278,0.0
-50.0,50,68.482402,0.0
-50.0,50,75.176177,0.0
-50.0,50,76.026516,0.0
-50.0,50,76.853397,0.0
-50.0,50,77.738778,0.0
-50.0,50,78.652003,0.0
-50.0,50,79.521041,0.0
-50.0,50,80.389789,0.0
-50.0,50,81.236889,0.0
-50.0,50,82.088352,0.0
-50.0,50,82.929409,0.0
-50.0,50,89.597034,0.0
-50.0,50,90.42648,0.0
-50.0,50,91.3024,0.0
-50.0,50,92.125937,0.0
-50.0,50,92.973382,0.0
-50.0,50,93.799716,0.0
-50.0,50,94.663447,0.0
-50.0,50,95.507153,0.0
-50.0,50,96.343569,0.0
-50.0,50,97.216239,0.0
-50.0,50,103.887444,0.0
-50.0,50,104.719787,0.0
-50.0,50,105.575892,0.0
-50.0,50,106.437578,0.0
-50.0,50,108.176423,0.0
-50.0,50,109.044663,0.0
-50.0,50,109.912114,0.0
-50.0,50,110.74899,0.0
-50.0,50,111.612042,0.0
-50.0,50,112.436336,0.0
-50.0,50,119.144159,0.0
-50.0,50,120.008489,0.0
-50.0,50,120.864137,0.0
-50.0,50,121.716011,0.0
-50.0,50,122.586917,0.0
-50.0,50,123.464662,0.0
-50.0,50,124.348006,0.0
-50.0,50,125.207043,0.0
-50.0,50,126.054364,0.0
-50.0,50,126.891236,0.0
-50.0,50,127.753405,0.0
-50.0,50,134.390586,0.0
-50.0,50,135.229341,0.0
-50.0,50,136.081395,0.0
-50.0,50,136.901987,0.0
-50.0,50,137.747351,0.0
-50.0,50,138.602107,0.0
-50.0,50,139.448956,0.0
-50.0,50,140.313364,0.0
-50.0,50,141.989604,0.0
-50.0,50,142.842325,0.0
-50.0,50,149.455628,0.0
-50.0,50,150.298082,0.0
-50.0,50,151.146776,0.0
-50.0,50,151.975984,0.0
-50.0,50,152.827779,0.0
-50.0,50,153.730653,0.0
-50.0,50,154.560611,0.0
-50.0,50,155.399824,0.0
-50.0,50,156.295186,0.0
-50.0,50,157.119568,0.0
-50.0,50,163.849259,0.0
-50.0,50,164.678739,0.0
-50.0,50,165.527031,0.0
-50.0,50,166.385166,0.0
-50.0,50,167.235858,0.0
-50.0,50,168.085268,0.0
-50.0,50,168.928081,0.0
-50.0,50,169.770936,0.0
-50.0,50,170.579885,0.0
-50.0,50,171.435106,0.0
-50.0,50,178.08359,0.0
-50.0,50,178.939983,0.0
-50.0,50,179.814605,0.0
-50.0,50,181.537794,0.0
-50.0,50,182.391863,0.0
-50.0,50,183.262862,0.0
-50.0,50,184.112187,0.0
-50.0,50,184.974857,0.0
-50.0,50,185.854059,0.0
-50.0,50,186.717242,0.0
-50.0,50,187.571244,0.0
-50.0,50,194.243428,0.0
-50.0,50,195.07217,0.0
-50.0,50,195.951318,0.0
-50.0,50,196.828039,0.0
-50.0,50,197.67104,0.0
-50.0,50,198.520382,0.0
-50.0,50,199.360456,0.0
-50.0,50,200.21681,0.0
-50.0,50,201.061283,0.0
-50.0,50,201.92466,0.0
-50.0,50,208.617199,0.0
-50.0,50,209.487432,0.0
-50.0,50,210.370668,0.0
-50.0,50,211.275791,0.0
-50.0,50,212.134344,0.0
-50.0,50,212.99835,0.0
-50.0,50,213.850327,0.0
-50.0,50,215.799335,0.0
-50.0,50,216.672804,0.0
-50.0,50,217.523421,0.0
-50.0,50,224.210321,0.0
-50.0,50,225.046742,0.0
-50.0,50,225.90691,0.0
-50.0,50,226.752544,0.0
-50.0,50,227.588129,0.0
-50.0,50,228.436659,0.0
-50.0,50,229.280094,0.0
-50.0,50,230.157393,0.0
-50.0,50,231.036428,0.0
-50.0,50,231.885854,0.0
-50.0,50,238.544512,0.0
-50.0,50,239.368591,0.0
-50.0,50,240.229234,0.0
-50.0,50,241.091728,0.0
-50.0,50,241.944463,0.0
-50.0,50,242.853029,0.0
-50.0,50,243.684767,0.0
-50.0,50,244.544048,0.0
-50.0,50,245.451351,0.0
-50.0,50,246.323725,0.0
-50.0,50,247.190254,0.0
-50.0,50,253.870421,0.0
-50.0,50,255.545717,0.0
-50.0,50,256.411844,0.0
-50.0,50,257.267834,0.0
-50.0,50,258.123585,0.0
-50.0,50,259.017272,0.0
-50.0,50,259.875027,0.0
-50.0,50,260.735783,0.0
-50.0,50,261.57143,0.0
-50.0,50,262.449989,0.0
-50.0,50,269.17804,0.0
-50.0,50,270.023652,0.0
-50.0,50,270.879654,0.0
-50.0,50,271.752323,0.0
-50.0,50,272.624853,0.0
-50.0,50,273.484793,0.0
-50.0,50,274.367882,0.0
-50.0,50,275.24441,0.0
-50.0,50,276.108656,0.0
-50.0,50,276.960408,0.0
-50.0,50,283.670188,0.0
-50.0,50,284.530763,0.0
-50.0,50,285.360411,0.0
-50.0,50,286.213414,0.0
-50.0,50,287.065478,0.0
-50.0,50,287.892299,0.0
-50.0,50,289.541273,0.0
-50.0,50,290.420209,0.0
-50.0,50,291.278577,0.0
-50.0,50,292.152291,0.0
-50.0,50,298.821345,0.0
-50.0,50,299.696611,0.0
-50.0,50,300.558073,0.0
-50.0,50,301.40924,0.0
-50.0,50,302.283066,0.0
-50.0,50,303.14818,0.0
-50.0,50,303.993164,0.0
-50.0,50,304.878154,0.0
-50.0,50,305.722763,0.0
-50.0,50,306.604845,0.0
-50.0,50,307.478548,0.0
-50.0,50,314.191408,0.0
-50.0,50,315.090292,0.0
-50.0,50,315.949749,0.0
-50.0,50,316.811838,0.0
-50.0,50,317.669399,0.0
-50.0,50,318.523022,0.0
-50.0,50,319.407104,0.0
-50.0,50,320.299005,0.0
-50.0,50,321.150844,0.0
-50.0,50,322.024988,0.0
-50.0,50,329.501572,0.0
-50.0,50,330.370404,0.0
-50.0,50,331.23165,0.0
-50.0,50,332.094828,0.0
-50.0,50,332.988275,0.0
-50.0,50,333.827733,0.0
-50.0,50,334.671936,0.0
-50.0,50,335.525562,0.0
-50.0,50,336.407729,0.0
-50.0,50,337.259036,0.0
-50.0,50,343.969825,0.0
-50.0,50,344.844648,0.0
-50.0,50,345.719871,0.0
-50.0,50,346.584267,0.0
-50.0,50,347.455923,0.0
-50.0,50,348.305764,0.0
-50.0,50,349.163554,0.0
-50.0,50,350.059363,0.0
-50.0,50,350.96088,0.0
-50.0,50,351.818946,0.0
-50.0,50,358.563217,0.0
-50.0,50,359.419758,0.0
-50.0,50,360.311236,0.0
-50.0,50,361.168276,0.0
-50.0,50,362.009936,0.0
-50.0,50,363.815018,0.0
-50.0,50,364.671667,0.0
-50.0,50,365.531956,0.0
-50.0,50,366.390052,0.0
-50.0,50,367.257106,0.0
-50.0,50,368.094783,0.0
-50.0,50,374.817947,0.0
-50.0,50,375.740664,0.0
-50.0,50,376.616992,0.0
-50.0,50,377.457067,0.0
-50.0,50,378.328115,0.0
-50.0,50,379.211619,0.0
-50.0,50,380.082668,0.0
-50.0,50,380.953285,0.0
-50.0,50,381.840487,0.0
-50.0,50,382.70969,0.0
-50.0,50,389.39195,0.0
-50.0,50,390.274916,0.0
-50.0,50,391.18035,0.0
-50.0,50,392.054364,0.0
-50.0,50,392.918382,0.0
-50.0,50,393.754176,0.0
-50.0,50,394.603374,0.0
-50.0,50,395.478108,0.0
-50.0,50,396.350644,0.0
-50.0,50,398.088585,0.0
-50.0,50,404.79716,0.0
-50.0,50,405.659815,0.0
-50.0,50,406.513035,0.0
-50.0,50,407.342062,0.0
-50.0,50,408.196336,0.0
-50.0,50,409.048225,0.0
-50.0,50,409.909595,0.0
-50.0,50,410.773853,0.0
-50.0,50,411.635066,0.0
-50.0,50,412.49039,0.0
-50.0,50,419.189751,0.0
-50.0,50,420.055305,0.0
-50.0,50,420.933633,0.0
-50.0,50,421.794413,0.0
-50.0,50,422.65215,0.0
-50.0,50,423.501993,0.0
-50.0,50,424.355279,0.0
-50.0,50,425.191793,0.0
-50.0,50,426.048335,0.0
-50.0,50,426.895573,0.0
-50.0,50,433.596153,0.0
-50.0,50,434.442454,0.0
-50.0,50,435.276126,0.0
-50.0,50,436.176591,0.0
-50.0,50,437.984255,0.0
-50.0,50,438.861189,0.0
-50.0,50,439.727937,0.0
-50.0,50,440.591472,0.0
-50.0,50,441.461808,0.0
-50.0,50,442.317065,0.0
-50.0,50,443.179944,0.0
-50.0,50,449.918095,0.0
-50.0,50,450.784701,0.0
-50.0,50,451.652889,0.0
-50.0,50,452.519712,0.0
-50.0,50,453.393384,0.0
-50.0,50,454.251347,0.0
-50.0,50,455.095416,0.0
-50.0,50,455.944319,0.0
-50.0,50,456.796744,0.0
-50.0,50,457.638976,0.0
-50.0,50,464.334466,0.0
-50.0,50,465.200896,0.0
-50.0,50,466.039905,0.0
-50.0,50,466.871965,0.0
-50.0,50,467.727892,0.0
-50.0,50,468.581047,0.0
-50.0,50,469.401147,0.0
-50.0,50,470.244615,0.0
-50.0,50,471.953108,0.0
-50.0,50,472.813989,0.0
-50.0,50,479.489337,0.0
-50.0,50,480.335921,0.0
-50.0,50,481.192451,0.0
-50.0,50,482.069524,0.0
-50.0,50,482.931479,0.0
-50.0,50,483.785359,0.0
-50.0,50,484.63834,0.0
-50.0,50,485.482089,0.0
-50.0,50,486.356131,0.0
-50.0,50,487.203396,0.0
-50.0,50,493.912998,0.0
-50.0,50,494.785223,0.0
-50.0,50,495.651202,0.0
-50.0,50,496.488587,0.0
-50.0,50,497.346055,0.0
-50.0,50,498.221566,0.0
-50.0,50,499.112386,0.0
-50.0,50,499.971614,0.0
-50.0,50,500.847791,0.0
-50.0,50,501.712829,0.0
-50.0,50,502.559307,0.0
-50.0,50,509.268468,0.0
-50.0,50,510.1473,0.0
-50.0,50,511.895093,0.0
-50.0,50,512.799728,0.0
-50.0,50,513.672652,0.0
-50.0,50,514.54351,0.0
-50.0,50,515.403954,0.0
-50.0,50,516.312778,0.0
-50.0,50,517.171821,0.0
-50.0,50,518.041699,0.0
-50.0,50,524.745008,0.0
-50.0,50,525.601155,0.0
-50.0,50,526.486894,0.0
-50.0,50,527.319358,0.0
-50.0,50,528.164226,0.0
-50.0,50,529.03923,0.0
-50.0,50,529.904797,0.0
-50.0,50,530.744328,0.0
-50.0,50,531.579214,0.0
-50.0,50,532.452771,0.0
-50.0,50,539.140908,0.0
-50.0,50,539.988672,0.0
-50.0,50,540.847242,0.0
-50.0,50,541.705649,0.0
-50.0,50,542.543931,0.0
-50.0,50,543.406093,0.0
-50.0,50,544.26882,0.0
-50.0,50,545.958854,0.0
-50.0,50,546.836994,0.0
-50.0,50,547.683202,0.0
-50.0,50,554.391469,0.0
-50.0,50,555.273573,0.0
-50.0,50,556.172999,0.0
-50.0,50,557.046728,0.0
-50.0,50,557.930525,0.0
-50.0,50,558.800314,0.0
-50.0,50,559.68837,0.0
-50.0,50,560.563458,0.0
-50.0,50,561.427697,0.0
-50.0,50,562.275308,0.0
-50.0,50,563.128774,0.0
-50.0,50,569.830659,0.0
-50.0,50,570.670398,0.0
-50.0,50,571.527903,0.0
-50.0,50,572.390784,0.0
-50.0,50,573.259902,0.0
-50.0,50,574.116682,0.0
-50.0,50,574.972994,0.0
-50.0,50,575.827206,0.0
-50.0,50,576.684199,0.0
-50.0,50,577.520535,0.0
-50.0,50,584.174494,0.0
-50.0,50,585.937531,0.0
-50.0,50,586.798026,0.0
