#{"t_start": 1649968604.6024625, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-17.741909,50,1.39665,0.0
-33.079538,50,2.22056,0.0
-13.758669,50,3.058465,0.0
-8.355727,50,3.895658,0.0
-27.059405,50,4.726498,0.0
-15.98982,50,5.554212,0.0
-8.372384,50,6.369557,0.0
-25.274526,50,7.202611,0.0
-8.119016,50,8.016865,0.0
-12.563394,50,8.846816,0.0
-26.268091,50,15.51388,0.0
-7.655066,50,16.375288,0.0
-23.872724,50,17.22715,0.0
-30.38122,50,18.058784,0.0
-15.971174,50,18.895581,0.0
-11.803236,50,19.721028,0.0
-7.98997,50,20.570702,0.0
-11.613516,50,21.405174,0.0
-23.324828,50,22.268485,0.0
-14.867268,50,23.087543,0.0
-15.318144,50,29.726248,0.0
-19.70969,50,30.548805,0.0
-20.049578,50,31.362237,0.0
-10.192071,50,32.190402,0.0
-21.875026,50,33.020294,0.0
-25.175364,50,34.707508,0.0
-8.740767,50,35.545406,0.0
-12.635076,50,36.357168,0.0
-37.20992,50,37.173545,0.0
-9.616576,50,38.008698,0.0
-6.64487,50,44.666188,0.0
-24.654626,50,45.497895,0.0
-21.471913,50,46.331418,0.0
-15.60159,50,47.181015,0.0
-17.464538,50,48.006918,0.0
-14.498641,50,48.840233,0.0
-22.634224,50,49.676455,0.0
-23.802598,50,50.502928,0.0
-11.339338,50,51.316729,0.0
-11.365366,50,52.133534,0.0
-19.445434,50,58.78776,0.0
-9.362622,50,59.609679,0.0
-14.317473,50,60.408646,0.0
-13.07037,50,61.235016,0.0
-19.172371,50,62.044354,0.0
-22.399699,50,62.864784,0.0
-8.874618,50,63.690815,0.0
-10.88549,50,64.514984,0.0
-11.9715,50,65.323103,0.0
-17.431679,50,66.147733,0.0
-22.391153,50,68.134008,0.0
-18.630418,50,74.737689,0.0
-20.290953,50,75.551618,0.0
-8.196888,50,76.372037,0.0
-10.720175,50,77.199679,0.0
-12.455446,50,78.012156,0.0
-13.529301,50,78.854247,0.0
-14.401182,50,79.689576,0.0
-10.162556,50,80.520095,0.0
-18.306849,50,81.31945,0.0
-8.710367,50,82.137065,0.0
-12.04841,50,88.795911,0.0
-6.285541,50,89.615574,0.0
-16.396135,50,90.428943,0.0
-9.373122,50,91.236359,0.0
-15.446802,50,92.047526,0.0
-11.548858,50,92.893716,0.0
-8.134871,50,93.738547,0.0
-10.366457,50,94.567615,0.0
-14.306853,50,95.425719,0.0
-10.222298,50,96.262298,0.0
-12.955615,50,102.908209,0.0
-16.751859,50,103.714597,0.0
-11.637204,50,104.526195,0.0
-13.060934,50,105.347722,0.0
-8.183253,50,107.010289,0.0
-10.019548,50,107.845129,0.0
-10.646668,50,108.68172,0.0
-12.448198,50,109.493764,0.0
-7.945187,50,110.305657,0.0
-18.285433,50,111.128235,0.0
-16.07748,50,117.764412,0.0
-5.750015,50,118.594362,0.0
-4.707897,50,119.408963,0.0
-9.548441,50,120.223748,0.0
-14.869754,50,121.039572,0.0
-8.259201,50,121.860019,0.0
-8.522128,50,122.685175,0.0
-7.844158,50,123.523635,0.0
-7.105009,50,124.334752,0.0
-14.26508,50,125.162702,0.0
-13.340322,50,125.976141,0.0
-8.121465,50,132.494221,0.0
-7.87044,50,133.305153,0.0
-7.796467,50,134.121026,0.0
-7.819693,50,134.929694,0.0
-7.658812,50,135.747058,0.0
-9.20976,50,136.568028,0.0
-12.152754,50,137.375917,0.0
-7.685602,50,138.208552,0.0
-13.636148,50,139.872046,0.0
-8.684119,50,140.690863,0.0
-8.445442,50,147.318351,0.0
-8.472107,50,148.142848,0.0
-15.863828,50,148.964863,0.0
-8.402223,50,149.765997,0.0
-7.289428,50,150.583526,0.0
-11.35975,50,151.4228,0.0
-6.039952,48,152.227097,1.0
-7.615174,50,153.06025,0.0
-8.983292,50,153.883395,0.0
-4.138432,50,154.690179,0.0
-5.191971,50,161.317605,0.0
-9.34248,50,162.1324,0.0
-7.221016,50,162.957367,0.0
-6.460183,50,163.811488,0.0
-9.810347,50,164.631183,0.0
-7.633285,50,165.437593,0.0
-2.670545,19,165.753019,1.0
-9.1632,50,166.557756,0.0
-6.557671,50,167.366362,0.0
-5.828348,50,168.176892,0.0
-8.659431,50,169.013331,0.0
-12.160607,50,175.665436,0.0
-3.67525,50,176.479849,0.0
-9.68396,50,178.174263,0.0
-8.304085,50,178.991224,0.0
-6.373909,50,179.814294,0.0
-5.712627,50,180.626143,0.0
-3.415514,50,181.44031,0.0
-9.295273,50,182.270402,0.0
-5.639924,50,183.08702,0.0
-9.375363,50,183.912857,0.0
-5.420822,50,190.559729,0.0
-6.156423,50,191.368089,0.0
-6.860719,50,192.212707,0.0
-3.34833,50,193.036814,0.0
-6.533338,27,193.4941,1.0
-6.89696,50,194.369352,0.0
-5.83783,50,195.228024,0.0
-6.828452,50,196.059272,0.0
-6.879781,50,196.859703,0.0
-8.15001,50,197.673503,0.0
-3.227285,50,198.49729,0.0
-3.39039,29,204.782475,1.0
-7.378708,50,205.60183,0.0
-5.43873,50,206.423602,0.0
-6.098735,50,207.240227,0.0
-5.875988,50,208.059563,0.0
-8.077695,50,208.872968,0.0
-5.248119,50,209.694186,0.0
-6.864908,50,211.368952,0.0
-4.258692,50,212.188834,0.0
-3.673152,50,213.014471,0.0
-10.575158,50,213.861794,0.0
-4.835818,39,220.349016,1.0
-7.036858,50,221.172403,0.0
-4.938723,50,222.002426,0.0
-8.49572,50,222.830761,0.0
-7.519991,50,223.663446,0.0
-8.333509,50,224.511894,0.0
-10.816914,50,225.334196,0.0
-5.561554,50,226.15043,0.0
-6.698074,40,226.808593,1.0
-5.159439,50,227.64118,0.0
-8.576082,50,234.298913,0.0
-7.539417,50,235.097601,0.0
-3.44384,31,235.609502,1.0
-10.126087,50,236.411718,0.0
-6.522794,50,237.230809,0.0
-6.370446,50,238.062181,0.0
-5.99426,50,238.879489,0.0
-6.755319,50,239.682705,0.0
-2.757535,29,240.158415,1.0
-4.496766,50,240.980323,0.0
-4.978413,50,241.791291,0.0
-4.586705,50,248.401967,0.0
-7.325756,50,250.042974,0.0
-5.202011,50,250.862266,0.0
-4.239884,50,251.673395,0.0
-7.543689,50,252.495667,0.0
-3.136556,50,253.30849,0.0
-4.256864,50,254.125303,0.0
-3.242746,50,254.926784,0.0
-7.972447,50,255.736191,0.0
-6.754093,50,256.547906,0.0
-4.074907,38,257.178277,1.0
-6.140755,33,263.545787,1.0
-4.711126,50,264.36033,1.0
-4.712443,50,265.163543,0.0
-6.555716,50,265.977279,0.0
-6.119065,50,266.796091,0.0
-6.211219,50,267.599035,0.0
-7.04279,50,268.422336,0.0
-4.767603,50,269.241313,0.0
-3.469862,50,270.047322,0.0
-5.906865,50,270.854266,0.0
-11.109694,50,277.473926,0.0
