#{"t_start": 1651057347.589014, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-50.0,50,1.274729,0.0
-50.0,50,2.11765,0.0
-50.0,50,2.967573,0.0
-50.0,50,3.873046,0.0
-50.0,50,4.72902,0.0
-50.0,50,5.580453,0.0
-50.0,50,6.4562,0.0
-50.0,50,7.377749,0.0
-50.0,50,8.285305,0.0
-50.0,50,9.132573,0.0
-50.0,50,15.877309,0.0
-50.0,50,16.809153,0.0
-50.0,50,17.655674,0.0
-50.0,50,18.515254,0.0
-50.0,50,19.403694,0.0
-50.0,50,20.314649,0.0
-50.0,50,21.207663,0.0
-50.0,50,22.06479,0.0
-50.0,50,22.961451,0.0
-50.0,50,23.791365,0.0
-50.0,50,30.437596,0.0
-50.0,50,31.296855,0.0
-50.0,50,32.143294,0.0
-50.0,50,33.021709,0.0
-50.0,50,33.888195,0.0
-50.0,50,35.629334,0.0
-50.0,50,36.496985,0.0
-50.0,50,37.346923,0.0
-50.0,50,38.221741,0.0
-50.0,50,39.127978,0.0
-50.0,50,45.945215,0.0
-50.0,50,46.793061,0.0
-50.0,50,47.664275,0.0
-50.0,50,48.541525,0.0
-50.0,50,49.418333,0.0
-50.0,50,50.254466,0.0
-50.0,50,51.147626,0.0
-50.0,50,52.003664,0.0
-50.0,50,52.861048,0.0
-50.0,50,53.715522,0.0
-50.0,50,60.464494,0.0
-50.0,50,61.31798,0.0
-50.0,50,62.18217,0.0
-50.0,50,63.067161,0.0
-50.0,50,63.895034,0.0
-50.0,50,64.728489,0.0
-50.0,50,65.570055,0.0
-50.0,50,66.443498,0.0
-50.0,50,67.303215,0.0
-50.0,50,68.165972,0.0
-50.0,50,69.892542,0.0
-50.0,50,76.637453,0.0
-50.0,50,77.505907,0.0
-50.0,50,78.366167,0.0
-50.0,50,79.24512,0.0
-50.0,50,80.110403,0.0
-50.0,50,81.005326,0.0
-50.0,50,81.87708,0.0
-50.0,50,82.740334,0.0
-50.0,50,83.595335,0.0
-50.0,50,84.451911,0.0
-50.0,50,91.138409,0.0
-50.0,50,92.034779,0.0
-50.0,50,92.937513,0.0
-50.0,50,93.830648,0.0
-50.0,50,94.665747,0.0
-50.0,50,95.531593,0.0
-50.0,50,96.379961,0.0
-50.0,50,97.230413,0.0
-50.0,50,98.077194,0.0
-50.0,50,98.943717,0.0
-50.0,50,105.685265,0.0
-50.0,50,106.559742,0.0
-50.0,50,107.445969,0.0
-50.0,50,108.299032,0.0
-50.0,50,110.055696,0.0
-50.0,50,110.918927,0.0
-50.0,50,111.800309,0.0
-50.0,50,112.672211,0.0
-50.0,50,113.517864,0.0
-50.0,50,114.396947,0.0
-50.0,50,121.157385,0.0
-50.0,50,122.038715,0.0
-50.0,50,122.940936,0.0
-50.0,50,123.797019,0.0
-50.0,50,124.724073,0.0
-50.0,50,125.59616,0.0
-50.0,50,126.506168,0.0
-50.0,50,127.36606,0.0
-50.0,50,128.221722,0.0
-50.0,50,129.070964,0.0
-50.0,50,129.975092,0.0
-50.0,50,136.640016,0.0
-50.0,50,137.501045,0.0
-50.0,50,138.358634,0.0
-50.0,50,139.22002,0.0
-50.0,50,140.089212,0.0
-50.0,50,140.956145,0.0
-50.0,50,141.784634,0.0
-50.0,50,142.626501,0.0
-50.0,50,144.367518,0.0
-50.0,50,145.204868,0.0
-50.0,50,151.951731,0.0
-50.0,50,152.879603,0.0
-50.0,50,153.754445,0.0
-50.0,50,154.59049,0.0
-50.0,50,155.428867,0.0
-50.0,50,156.29783,0.0
-50.0,50,157.165413,0.0
-50.0,50,158.090096,0.0
-50.0,50,158.97839,0.0
-50.0,50,159.893635,0.0
-50.0,50,166.6409,0.0
-50.0,50,167.499361,0.0
-50.0,50,168.395183,0.0
-50.0,50,169.234865,0.0
-50.0,50,170.07003,0.0
