#{"t_start": 1651053466.8992326, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-50.0,50,1.232834,0.0
-50.0,50,2.105319,0.0
-50.0,50,2.9885,0.0
-50.0,50,3.933702,0.0
-50.0,50,4.829151,0.0
-50.0,50,5.720751,0.0
-50.0,50,6.664099,0.0
-50.0,50,7.855395,0.0
-50.0,50,8.766823,0.0
-50.0,50,9.640159,0.0
-50.0,50,16.596005,0.0
-50.0,50,17.531442,0.0
-50.0,50,18.440161,0.0
-50.0,50,19.323497,0.0
-50.0,50,20.234092,0.0
-50.0,50,21.341214,0.0
-50.0,50,22.251432,0.0
-50.0,50,23.169077,0.0
-50.0,50,24.271197,0.0
-50.0,50,25.142991,0.0
-50.0,50,31.862869,0.0
-50.0,50,32.811933,0.0
-50.0,50,33.70183,0.0
-50.0,50,34.610017,0.0
-50.0,50,35.507055,0.0
-50.0,50,37.385317,0.0
-50.0,50,38.292985,0.0
-50.0,50,39.203457,0.0
-50.0,50,40.112254,0.0
-50.0,50,41.008954,0.0
-50.0,50,47.853981,0.0
-50.0,50,48.76898,0.0
-50.0,50,49.677415,0.0
-50.0,50,50.567622,0.0
-50.0,50,51.46618,0.0
-50.0,50,52.315488,0.0
-50.0,50,53.256183,0.0
-50.0,50,54.129768,0.0
-50.0,50,55.014476,0.0
-50.0,50,55.8827,0.0
-50.0,50,62.708176,0.0
-50.0,50,63.60447,0.0
-50.0,50,64.539638,0.0
-50.0,50,65.491433,0.0
-50.0,50,66.397897,0.0
-50.0,50,67.269585,0.0
-50.0,50,68.146679,0.0
-50.0,50,69.064127,0.0
-50.0,50,69.997601,0.0
-50.0,50,70.9509,0.0
-50.0,50,72.841411,0.0
-50.0,50,79.599799,0.0
-50.0,50,80.469519,0.0
-50.0,50,81.354067,0.0
-50.0,50,82.252912,0.0
-50.0,50,83.217946,0.0
-50.0,50,84.102782,0.0
-50.0,50,85.029508,0.0
-50.0,50,85.952432,0.0
-50.0,50,86.839873,0.0
-50.0,50,87.708032,0.0
-50.0,50,94.689464,0.0
-50.0,50,95.815524,0.0
-50.0,50,96.773969,0.0
-50.0,50,97.730829,0.0
-50.0,50,98.678238,0.0
-50.0,50,99.612062,0.0
-50.0,50,100.506326,0.0
-50.0,50,101.424189,0.0
-50.0,50,102.36861,0.0
-50.0,50,103.290159,0.0
-50.0,50,110.079988,0.0
-50.0,50,111.119205,0.0
-50.0,50,112.088675,0.0
-50.0,50,113.034164,0.0
-50.0,50,114.99944,0.0
-50.0,50,115.914263,0.0
-50.0,50,116.825736,0.0
-50.0,50,117.735234,0.0
-50.0,50,118.992642,0.0
-50.0,50,119.881615,0.0
-50.0,50,126.61601,0.0
-50.0,50,127.538338,0.0
-50.0,50,128.482246,0.0
-50.0,50,129.380652,0.0
-50.0,50,130.381127,0.0
-50.0,50,131.308023,0.0
-50.0,50,132.294126,0.0
-50.0,50,133.198275,0.0
-50.0,50,134.063133,0.0
-50.0,50,134.982139,0.0
-50.0,50,135.964588,0.0
-50.0,50,142.759459,0.0
-50.0,50,143.670213,0.0
-50.0,50,144.600879,0.0
-50.0,50,145.490388,0.0
-50.0,50,146.446411,0.0
-50.0,50,147.864833,0.0
-50.0,50,148.762559,0.0
-50.0,50,149.713848,0.0
-50.0,50,151.626729,0.0
-50.0,50,152.545839,0.0
-50.0,50,159.260453,0.0
-50.0,50,160.445446,0.0
-50.0,50,161.391899,0.0
-50.0,50,162.269462,0.0
-50.0,50,163.186212,0.0
-50.0,50,164.12491,0.0
