#{"t_start": 1649972009.5992417, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-23.291087,50,1.553306,0.0
-13.743154,50,2.434981,0.0
-27.279791,50,3.447115,0.0
-29.553425,50,4.403345,0.0
-7.722549,50,5.566492,0.0
-12.066823,50,6.59033,0.0
-12.948031,50,7.555834,0.0
-11.727144,50,8.662056,0.0
-19.651298,50,9.606573,0.0
-36.088278,50,10.522165,0.0
-16.773718,50,17.313027,0.0
-22.522934,50,18.489786,0.0
-24.570767,50,19.384482,0.0
-9.530219,50,20.516249,0.0
-6.128651,50,21.703929,0.0
-39.433663,50,22.877026,0.0
-21.846055,50,23.796457,0.0
-40.43611,50,24.762964,0.0
-28.703063,50,26.009923,0.0
-23.74324,50,27.152715,0.0
-15.168763,50,34.167305,0.0
-15.826764,50,35.102404,0.0
-22.625081,50,36.3165,0.0
-9.487716,50,37.23415,0.0
-11.131512,50,38.222529,0.0
-17.388321,50,40.419613,0.0
-9.030438,50,41.342461,0.0
-12.451278,50,42.251602,0.0
-17.204609,50,43.586378,0.0
-28.685206,50,44.512717,0.0
-10.356197,50,51.292674,0.0
-22.562389,50,52.487194,0.0
-14.290701,50,53.474741,0.0
-15.65667,50,54.484169,0.0
-16.270745,50,55.42519,0.0
-11.578105,50,56.32691,0.0
-19.692213,50,57.611685,0.0
-17.881477,50,58.806396,0.0
-24.627009,50,59.762127,0.0
-6.077574,50,60.931966,0.0
-9.813022,50,67.725896,0.0
-21.940701,50,68.704467,0.0
-12.607707,50,69.651022,0.0
-11.218693,50,70.949071,0.0
-16.755092,50,71.93018,0.0
-12.209016,50,73.089171,0.0
-13.002017,50,74.116985,0.0
-12.656834,50,75.132382,0.0
-16.23923,50,76.057912,0.0
-21.756785,50,77.335216,0.0
-22.378907,50,79.561275,0.0
-15.752175,50,86.529608,0.0
-12.815334,50,87.678096,0.0
-12.743122,50,88.671597,0.0
-15.285461,50,89.862944,0.0
-6.871462,50,90.818427,0.0
-20.507356,50,91.776763,0.0
-10.652459,50,92.981598,0.0
-6.970858,50,93.967334,0.0
-17.917778,50,94.927193,0.0
-16.041493,50,95.864956,0.0
-9.388824,50,102.588265,0.0
-9.774947,50,103.846662,0.0
-24.39575,50,104.786709,0.0
-13.702872,50,105.696643,0.0
-7.773452,50,106.853849,0.0
-4.501276,50,107.825526,0.0
-8.222886,50,108.784418,0.0
-11.800635,50,109.847605,0.0
-6.880686,50,111.188128,0.0
-7.02896,50,112.322048,0.0
-18.733689,50,119.345341,0.0
-10.244293,50,120.777111,0.0
-12.243252,50,121.791006,0.0
-13.427254,50,122.713524,0.0
-23.316316,50,124.740229,0.0
-5.513152,50,125.680989,0.0
-7.853172,50,126.839922,0.0
-12.328667,50,127.734999,0.0
-13.843926,50,128.698805,0.0
-12.825922,50,129.687145,0.0
-17.567329,50,136.965944,0.0
-9.665259,50,137.898304,0.0
-14.293197,50,139.101598,0.0
-7.516647,50,140.028342,0.0
-13.076842,50,141.437115,0.0
-10.371081,50,142.350783,0.0
-5.112499,50,143.266236,0.0
-11.377848,50,144.232424,0.0
-6.98051,50,145.240666,0.0
-7.887293,50,146.211919,0.0
-15.874556,50,147.871492,0.0
-18.483499,50,154.765758,0.0
-11.926352,50,155.685615,0.0
-17.033662,50,156.926291,0.0
-12.641979,50,157.809456,0.0
-5.272863,50,159.128175,0.0
-10.7338,50,160.076854,0.0
-9.823306,50,160.959147,0.0
-18.879964,50,161.97477,0.0
-9.111416,50,163.76308,0.0
-16.421972,50,165.035701,0.0
-5.68139,50,171.703383,0.0
-12.318857,50,173.017002,0.0
-10.664581,50,174.003083,0.0
-15.086566,50,175.160582,0.0
-13.879664,50,176.173111,0.0
-14.781548,50,177.303859,0.0
-10.027215,50,178.44582,0.0
-6.878934,50,179.335052,0.0
-6.183263,50,180.255544,0.0
-3.944884,50,181.613729,0.0
-8.364841,50,188.477172,0.0
-15.123366,50,190.142873,0.0
-3.889963,50,191.159897,0.0
-10.219609,50,192.442434,0.0
-16.885121,50,193.397959,0.0
-8.432489,50,194.578788,0.0
-5.349117,50,195.56454,0.0
-12.790741,50,196.462717,0.0
-16.082468,50,197.456811,0.0
-23.662605,50,198.381485,0.0
-9.938,50,205.460891,0.0
-12.223395,50,206.545437,0.0
-13.333707,50,207.500729,0.0
-12.037297,50,209.684104,0.0
-16.08961,50,210.613518,0.0
-10.139388,50,211.614745,0.0
-11.420879,50,212.608116,0.0
-8.323069,50,213.862472,0.0
-8.102523,50,214.842274,0.0
-9.968155,50,215.770136,0.0
-7.799948,50,216.703215,0.0
-5.622648,50,223.54391,0.0
-12.775587,50,224.492998,0.0
-15.972392,50,225.483207,0.0
-9.343344,50,226.862553,0.0
-5.674066,50,227.792993,0.0
-6.893736,50,228.703147,0.0
-6.252638,50,229.81341,0.0
-18.06118,50,230.712168,0.0
-5.285331,50,231.596958,0.0
-6.735238,50,232.899046,0.0
-7.408781,50,240.050401,0.0
-4.959547,50,241.0072,0.0
-4.971394,50,241.925569,0.0
-6.787673,50,242.822578,0.0
-15.853204,50,243.855651,0.0
-6.535059,50,244.819267,0.0
-5.413074,50,245.910183,0.0
-7.552517,50,248.239727,0.0
-19.227066,50,249.30758,0.0
-6.972873,50,250.353643,0.0
-5.215423,50,257.169333,0.0
-10.472391,50,258.45911,0.0
-6.146879,50,259.590918,0.0
-6.303555,50,260.847432,0.0
-5.919944,50,261.811464,0.0
-7.082557,50,262.702309,0.0
-9.45302,50,263.799276,0.0
-8.294747,50,264.665716,0.0
-8.475363,50,265.571694,0.0
-4.85542,50,266.635767,0.0
-9.494987,50,273.484785,0.0
-4.49734,50,274.502132,0.0
-3.323242,50,275.403854,0.0
-12.138532,50,276.359642,0.0
-12.095079,50,277.315747,0.0
-5.353567,50,278.614655,0.0
-7.279467,50,280.013637,0.0
-8.432154,50,281.245261,0.0
-7.209139,50,282.150396,0.0
-0.896344,8,282.328321,1.0
-14.0209,50,283.396241,0.0
-17.108187,50,290.234436,0.0
-7.242415,50,292.387046,0.0
-17.901041,50,293.374693,0.0
-8.080262,50,294.300811,0.0
-5.099349,50,295.462981,0.0
-3.181098,50,296.442044,0.0
-16.763379,50,297.52538,0.0
-9.346594,50,298.436608,0.0
-15.644934,50,299.494313,0.0
-10.739675,50,300.534379,0.0
-8.028127,50,301.453275,0.0
-6.683921,50,304.93884,0.0
-5.520692,50,306.118556,0.0
-5.287428,50,307.161099,0.0
-6.02738,50,308.057944,0.0
-3.735544,50,309.00526,0.0
-6.780534,50,309.919854,0.0
-6.592748,50,310.937708,0.0
-6.443984,50,311.88534,0.0
-3.652637,22,312.326072,1.0
-5.041563,50,313.499035,0.0
-6.737652,50,316.864351,0.0
-13.35687,50,317.999844,0.0
-14.698166,50,319.303008,0.0
-4.881899,50,320.471928,0.0
-5.377661,50,321.443796,0.0
-4.867078,50,322.464694,0.0
-16.589273,50,324.523379,0.0
-8.47644,50,325.617759,0.0
-7.098997,50,326.557594,0.0
-6.122039,50,327.438346,0.0
-4.478844,50,328.301381,0.0
-5.349741,50,331.773941,0.0
-3.821493,50,332.82306,0.0
-8.052137,50,333.734556,0.0
-4.505406,50,334.631174,0.0
-6.495948,50,335.519941,0.0
-21.927366,50,336.484765,0.0
-4.093494,50,337.474881,0.0
-5.046902,41,338.326473,1.0
-2.988083,17,338.775623,1.0
-13.540124,50,340.161181,0.0
-14.185342,50,341.133674,0.0
-5.570307,50,344.446413,0.0
-6.946956,50,345.575673,0.0
-5.676744,50,346.646457,0.0
-12.601975,50,347.742886,0.0
-16.586488,50,349.119923,0.0
-7.56439,50,350.157281,0.0
-15.950858,50,351.124823,0.0
-3.226076,50,352.072451,0.0
-7.44148,50,353.086793,0.0
-7.182679,50,354.172707,0.0
-8.687538,50,358.581656,0.0
-18.523871,50,359.774379,0.0
-5.380229,50,360.679901,0.0
-8.539447,50,361.683059,0.0
-14.66125,50,362.968356,0.0
-5.13417,50,364.090455,0.0
-16.461425,50,365.175699,0.0
-8.786313,50,366.263264,0.0
-6.729373,50,367.173867,0.0
-10.290069,50,368.411543,0.0
-8.486653,50,372.313869,0.0
-13.112118,50,373.297059,0.0
-5.941253,50,374.242079,0.0
-4.481527,50,375.128455,0.0
-10.772443,50,376.060147,0.0
-7.79148,50,377.020045,0.0
-4.290656,50,377.943287,0.0
-3.35695,50,378.967158,0.0
-13.606223,50,379.880288,0.0
-13.526394,50,380.855659,0.0
-3.173892,50,382.103707,0.0
-7.099212,50,385.51219,0.0
-8.609481,50,386.354552,0.0
-6.668314,50,387.230677,0.0
-16.730522,50,388.409775,0.0
-4.50895,50,390.41921,0.0
-15.129806,50,391.801762,0.0
-13.999465,50,393.106471,0.0
-4.280752,50,394.269278,0.0
-5.776294,50,395.212376,0.0
-3.678992,50,396.108783,0.0
-17.862053,50,400.342387,0.0
-7.122478,50,401.300981,0.0
-3.921259,50,402.177172,0.0
-7.844813,50,403.111881,0.0
-13.74572,50,404.121342,0.0
-4.80587,50,405.060024,0.0
-7.092723,50,406.033661,0.0
-5.844397,50,407.072433,0.0
-17.694489,50,408.204963,0.0
-14.851693,50,409.280301,0.0
-12.988678,50,413.0382,0.0
-20.055113,50,414.094302,0.0
-4.07915,50,415.086137,0.0
-9.477147,50,416.065135,0.0
-4.914413,50,417.393896,0.0
-4.513832,50,418.421579,0.0
-13.443936,50,419.546088,0.0
-6.242901,50,420.427716,0.0
-9.096551,50,421.399469,0.0
-14.442345,50,423.444133,0.0
-6.127886,50,429.191633,0.0
-9.042606,50,430.074423,0.0
-4.015017,29,430.637777,1.0
-3.945525,50,431.593159,0.0
-3.310147,50,432.558072,0.0
-14.34441,50,433.792786,0.0
-5.052132,50,434.754605,0.0
-8.099314,47,435.626909,1.0
-5.679067,50,436.685993,0.0
-10.420653,50,437.95465,0.0
-5.546471,50,439.031877,0.0
-5.359226,50,445.936552,0.0
-11.414043,50,446.855565,0.0
-3.266618,35,447.476259,1.0
-6.793556,50,448.382418,0.0
-6.445889,50,449.24242,0.0
-3.545118,50,450.143851,0.0
-2.748445,26,450.594017,1.0
-8.357273,50,451.495001,0.0
-19.491977,50,452.438601,0.0
-8.823617,50,453.326532,0.0
-4.248065,50,454.243634,0.0
-8.275758,50,460.972499,0.0
