#{"t_start": 1650872267.3549197, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-5.006179,50,1.360471,0.0
-5.846016,50,2.3098,0.0
-6.703419,50,3.242,0.0
-16.880119,50,4.184668,0.0
-6.685568,50,5.141643,0.0
-15.157306,50,6.117805,0.0
-14.697108,50,7.06347,0.0
-10.532215,50,7.980623,0.0
-17.01014,50,8.889811,0.0
-18.551714,50,9.834213,0.0
-17.527458,50,16.524576,0.0
-15.00579,50,17.473614,0.0
-8.393973,50,18.372713,0.0
-9.844662,50,19.306851,0.0
-7.392471,50,20.272289,0.0
-16.410873,50,21.278882,0.0
-7.511099,50,22.147049,0.0
-4.795502,50,23.05841,0.0
-5.273133,50,24.053728,0.0
-18.676642,50,24.994708,0.0
-6.658814,50,31.707476,0.0
-13.120382,50,32.633269,0.0
-6.069407,50,33.53792,0.0
-7.519006,50,34.455529,0.0
-5.523547,50,35.377748,0.0
-7.909659,50,37.229388,0.0
-7.318118,50,38.116035,0.0
-12.134896,50,39.019255,0.0
-7.175981,50,39.953019,0.0
-13.603906,50,40.87118,0.0
-5.283922,50,47.574869,0.0
-13.875968,50,48.496124,0.0
-10.063818,50,49.424273,0.0
-8.026188,50,50.387486,0.0
-11.485198,50,51.254127,0.0
-6.626274,50,52.135892,0.0
-13.713588,50,53.089864,0.0
-7.617157,50,54.050135,0.0
-13.260759,50,55.014496,0.0
-5.774046,50,55.958584,0.0
-8.447962,50,62.647963,0.0
-6.388359,50,63.586535,0.0
-9.348381,50,64.482141,0.0
-5.625121,50,65.439681,0.0
-5.885532,50,66.336053,0.0
-6.347736,50,67.249019,0.0
-11.525285,50,68.212384,0.0
-6.132026,50,69.15989,0.0
-4.790312,50,70.032056,0.0
-3.800004,50,70.929421,0.0
-12.767405,50,72.76057,0.0
-11.61307,50,79.419127,0.0
-9.944286,50,80.380803,0.0
-7.299011,50,81.305094,0.0
-13.40591,50,82.212772,0.0
-4.654497,50,83.106739,0.0
-5.703322,50,84.004457,0.0
-6.372407,50,84.882252,0.0
-6.525611,50,85.79028,0.0
-5.227576,50,86.706756,0.0
-4.785662,50,87.633021,0.0
-4.315135,50,94.262247,0.0
