#{"t_start": 1650495069.1405096, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-50.0,50,1.064639,0.0
-50.0,50,1.904586,0.0
-50.0,50,2.765197,0.0
-50.0,50,3.6482,0.0
-50.0,50,4.505949,0.0
-50.0,50,5.347944,0.0
-50.0,50,6.237115,0.0
-50.0,50,7.100852,0.0
-50.0,50,7.942906,0.0
-50.0,50,8.800629,0.0
-50.0,50,15.486417,0.0
-50.0,50,16.365253,0.0
-50.0,50,17.225044,0.0
-50.0,50,18.078373,0.0
-50.0,50,18.96329,0.0
-50.0,50,19.803465,0.0
-50.0,50,20.649667,0.0
-50.0,50,21.514296,0.0
-50.0,50,22.391267,0.0
-50.0,50,23.225994,0.0
-50.0,50,29.980069,0.0
-50.0,50,30.828987,0.0
-50.0,50,31.676327,0.0
-50.0,50,32.50796,0.0
-50.0,50,33.371091,0.0
-50.0,50,35.107996,0.0
-50.0,50,35.969976,0.0
-50.0,50,36.792918,0.0
-50.0,50,37.65792,0.0
-50.0,50,38.504176,0.0
-50.0,50,45.223136,0.0
-50.0,50,46.065733,0.0
-50.0,50,46.917931,0.0
-50.0,50,47.769247,0.0
-50.0,50,48.611893,0.0
-50.0,50,49.452254,0.0
-50.0,50,50.310665,0.0
-50.0,50,51.176348,0.0
-50.0,50,52.002897,0.0
-50.0,50,52.869342,0.0
-50.0,50,59.568156,0.0
-50.0,50,60.400949,0.0
-50.0,50,61.241837,0.0
-50.0,50,62.125304,0.0
-50.0,50,62.964542,0.0
-50.0,50,63.796259,0.0
-50.0,50,64.650285,0.0
-50.0,50,65.484411,0.0
-50.0,50,66.332504,0.0
-50.0,50,67.176645,0.0
-50.0,50,68.929514,0.0
-50.0,50,75.62354,0.0
-50.0,50,76.45416,0.0
-50.0,50,77.308824,0.0
-50.0,50,78.182314,0.0
-50.0,50,79.042696,0.0
-50.0,50,79.924586,0.0
-50.0,50,80.790418,0.0
-50.0,50,81.677781,0.0
-50.0,50,82.502929,0.0
-50.0,50,83.357372,0.0
-50.0,50,90.0281,0.0
-50.0,50,90.906447,0.0
-50.0,50,91.778295,0.0
-50.0,50,92.614804,0.0
-50.0,50,93.468729,0.0
-50.0,50,94.316931,0.0
-50.0,50,95.159257,0.0
-50.0,50,96.015837,0.0
-50.0,50,96.868916,0.0
-50.0,50,97.734537,0.0
-50.0,50,104.435768,0.0
-50.0,50,105.284733,0.0
-50.0,50,106.128949,0.0
-50.0,50,106.99416,0.0
-50.0,50,108.73552,0.0
-50.0,50,109.602191,0.0
-50.0,50,110.482748,0.0
-50.0,50,111.315347,0.0
-50.0,50,112.165966,0.0
-50.0,50,113.012886,0.0
-50.0,50,119.67265,0.0
-50.0,50,120.556362,0.0
-50.0,50,121.412581,0.0
-50.0,50,122.313929,0.0
-50.0,50,123.211799,0.0
-50.0,50,124.077347,0.0
-50.0,50,124.928922,0.0
-50.0,50,125.789347,0.0
-50.0,50,126.641515,0.0
-50.0,50,127.499496,0.0
-50.0,50,128.346643,0.0
-50.0,50,134.969254,0.0
-50.0,50,135.828205,0.0
-50.0,50,136.689763,0.0
-50.0,50,137.550187,0.0
-50.0,50,138.414004,0.0
-50.0,50,139.301849,0.0
-50.0,50,140.150279,0.0
-50.0,50,141.012573,0.0
-50.0,50,142.721477,0.0
-50.0,50,143.565005,0.0
-50.0,50,146.859315,0.0
-50.0,50,147.72769,0.0
-50.0,50,148.605791,0.0
-50.0,50,149.448398,0.0
-50.0,50,150.298221,0.0
-50.0,50,151.183038,0.0
-50.0,50,152.021871,0.0
-50.0,50,152.862145,0.0
-50.0,50,153.712218,0.0
-50.0,50,154.555369,0.0
-50.0,50,157.861577,0.0
-50.0,50,158.76533,0.0
-50.0,50,159.648755,0.0
-50.0,50,160.494811,0.0
-50.0,50,161.351182,0.0
-50.0,50,162.210797,0.0
-50.0,50,163.079513,0.0
-50.0,50,163.94158,0.0
-50.0,50,164.785727,0.0
-50.0,50,165.657452,0.0
-50.0,50,168.935832,0.0
-50.0,50,169.804954,0.0
-50.0,50,170.659715,0.0
-50.0,50,172.373836,0.0
-50.0,50,173.228453,0.0
-50.0,50,174.092272,0.0
-50.0,50,175.001468,0.0
-50.0,50,175.85886,0.0
-50.0,50,176.712921,0.0
-50.0,50,177.62169,0.0
-50.0,50,178.499793,0.0
-50.0,50,181.783851,0.0
-50.0,50,182.664931,0.0
-50.0,50,183.495097,0.0
-50.0,50,184.391692,0.0
-50.0,50,185.263425,0.0
-50.0,50,186.112467,0.0
-50.0,50,186.959705,0.0
-50.0,50,187.816954,0.0
-50.0,50,188.642165,0.0
-50.0,50,189.526473,0.0
-50.0,50,192.852846,0.0
-50.0,50,193.760738,0.0
-50.0,50,194.659182,0.0
-50.0,50,195.557543,0.0
-50.0,50,196.409455,0.0
-50.0,50,197.269942,0.0
-50.0,50,198.137675,0.0
-50.0,50,199.875266,0.0
-50.0,50,200.753261,0.0
-50.0,50,201.613598,0.0
-50.0,50,205.018922,0.0
-50.0,50,205.906681,0.0
-50.0,50,206.785465,0.0
-50.0,50,207.658089,0.0
-50.0,50,208.528632,0.0
-50.0,50,209.408825,0.0
-50.0,50,210.261728,0.0
-50.0,50,211.159088,0.0
-50.0,50,212.016656,0.0
-50.0,50,212.92192,0.0
-50.0,50,216.172922,0.0
-50.0,50,217.043358,0.0
-50.0,50,217.889707,0.0
-50.0,50,218.731862,0.0
-50.0,50,219.590511,0.0
-50.0,50,220.434621,0.0
-50.0,50,221.299053,0.0
-50.0,50,222.163393,0.0
-50.0,50,223.063394,0.0
-50.0,50,223.942416,0.0
-50.0,50,224.793867,0.0
-50.0,50,228.128104,0.0
-50.0,50,229.849954,0.0
-50.0,50,230.750849,0.0
-50.0,50,231.630263,0.0
-50.0,50,232.472196,0.0
-50.0,50,233.377784,0.0
-50.0,50,234.214166,0.0
-50.0,50,235.060678,0.0
-50.0,50,235.923243,0.0
-50.0,50,236.774488,0.0
-50.0,50,240.027255,0.0
-50.0,50,240.892256,0.0
-50.0,50,241.783102,0.0
-50.0,50,242.65722,0.0
-50.0,50,243.510435,0.0
-50.0,50,244.369299,0.0
-50.0,50,245.253155,0.0
-50.0,50,246.122329,0.0
-50.0,50,246.997108,0.0
-50.0,50,247.8265,0.0
-50.0,50,251.182678,0.0
-50.0,50,252.061092,0.0
-50.0,50,252.913194,0.0
-50.0,50,253.778608,0.0
-50.0,50,254.647353,0.0
-50.0,50,255.499323,0.0
-50.0,50,257.204582,0.0
-50.0,50,258.077292,0.0
-50.0,50,259.050785,0.0
-50.0,50,259.964645,0.0
-50.0,50,265.490701,0.0
-50.0,50,266.367452,0.0
-50.0,50,267.265357,0.0
-50.0,50,268.122889,0.0
-50.0,50,268.970518,0.0
-50.0,50,269.864713,0.0
-50.0,50,270.740383,0.0
-50.0,50,271.600264,0.0
-50.0,50,272.4597,0.0
-50.0,50,273.34961,0.0
-50.0,50,274.256424,0.0
-50.0,50,280.982758,0.0
-50.0,50,281.858809,0.0
-50.0,50,282.694472,0.0
-50.0,50,283.522627,0.0
-50.0,50,284.425275,0.0
-50.0,50,285.284143,0.0
-50.0,50,286.17087,0.0
-50.0,50,287.054048,0.0
-50.0,50,287.933809,0.0
-50.0,50,288.802975,0.0
-50.0,50,296.329766,0.0
-50.0,50,297.171534,0.0
-50.0,50,298.050636,0.0
-50.0,50,298.912997,0.0
-50.0,50,299.831928,0.0
-50.0,50,300.726452,0.0
-50.0,50,301.579949,0.0
-50.0,50,302.434474,0.0
-50.0,50,303.317405,0.0
-50.0,50,304.146034,0.0
-50.0,50,310.828099,0.0
-50.0,50,311.674186,0.0
-50.0,50,312.575169,0.0
-50.0,50,313.492654,0.0
-50.0,50,314.344659,0.0
-50.0,50,315.218522,0.0
-50.0,50,316.095767,0.0
-50.0,50,316.972724,0.0
-50.0,50,317.823879,0.0
-50.0,50,318.743506,0.0
-50.0,50,325.467492,0.0
-50.0,50,326.310691,0.0
