#{"t_start": 1650902575.1635451, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-50.0,50,1.225501,0.0
-50.0,50,2.149371,0.0
-50.0,50,3.065309,0.0
-50.0,50,4.009479,0.0
-50.0,50,4.96116,0.0
-50.0,50,5.936792,0.0
-50.0,50,6.878214,0.0
-50.0,50,7.804733,0.0
-50.0,50,8.742216,0.0
-50.0,50,9.679333,0.0
-50.0,50,16.291998,0.0
-50.0,50,17.231582,0.0
-50.0,50,18.123346,0.0
-50.0,50,19.047725,0.0
-50.0,50,19.98327,0.0
-50.0,50,20.97896,0.0
-50.0,50,21.84696,0.0
-50.0,50,22.75696,0.0
-50.0,50,23.797481,0.0
-50.0,50,24.784042,0.0
-50.0,50,31.53321,0.0
-50.0,50,32.409084,0.0
-50.0,50,33.294857,0.0
-50.0,50,34.202924,0.0
-50.0,50,35.130825,0.0
-50.0,50,36.949674,0.0
-50.0,50,37.830951,0.0
-50.0,50,38.745703,0.0
-50.0,50,39.646624,0.0
-50.0,50,40.515077,0.0
-50.0,50,47.224385,0.0
-50.0,50,48.147034,0.0
-50.0,50,49.076221,0.0
-50.0,50,50.054627,0.0
-50.0,50,50.929704,0.0
-50.0,50,51.832983,0.0
-50.0,50,52.750195,0.0
-50.0,50,53.710214,0.0
-50.0,50,54.617545,0.0
-50.0,50,55.528348,0.0
-50.0,50,62.261847,0.0
-50.0,50,63.264195,0.0
-50.0,50,64.209785,0.0
-50.0,50,65.177128,0.0
-50.0,50,66.088883,0.0
-50.0,50,67.033886,0.0
-50.0,50,68.052665,0.0
-50.0,50,69.009726,0.0
-50.0,50,69.922539,0.0
-50.0,50,70.87742,0.0
-50.0,50,72.85825,0.0
-50.0,50,79.57756,0.0
-50.0,50,80.559089,0.0
-50.0,50,81.540258,0.0
-50.0,50,82.456379,0.0
-50.0,50,83.407258,0.0
-50.0,50,84.362794,0.0
-50.0,50,85.289601,0.0
-50.0,50,86.244259,0.0
-50.0,50,87.180738,0.0
-50.0,50,88.092578,0.0
-50.0,50,94.782871,0.0
-50.0,50,95.748347,0.0
-50.0,50,96.676638,0.0
-50.0,50,97.630534,0.0
-50.0,50,98.563977,0.0
-50.0,50,99.479484,0.0
-50.0,50,100.415333,0.0
-50.0,50,101.325834,0.0
-50.0,50,102.324498,0.0
-50.0,50,103.290785,0.0
-50.0,50,109.956353,0.0
-50.0,50,110.899096,0.0
-50.0,50,111.851016,0.0
-50.0,50,112.822599,0.0
-50.0,50,114.862301,0.0
-50.0,50,115.819451,0.0
-50.0,50,116.833399,0.0
-50.0,50,117.822137,0.0
-50.0,50,118.750597,0.0
-50.0,50,119.717223,0.0
-50.0,50,126.461727,0.0
-50.0,50,127.521996,0.0
