#{"t_start": 1650995702.9679825, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-666.653176,50,1.221768,0.0
-1340.103009,50,2.066579,0.0
-948.228702,50,2.921559,0.0
-1263.43356,50,3.840088,0.0
-826.952977,50,4.705823,0.0
-543.915939,50,5.569816,0.0
-821.717346,50,6.447461,0.0
-898.454592,50,7.36799,0.0
-976.356351,50,8.253628,0.0
-520.28038,50,9.08936,0.0
-679.913036,50,15.83605,0.0
-1078.78722,50,16.78017,0.0
-857.796036,50,17.631337,0.0
-1064.308765,50,18.509195,0.0
-635.5578,50,19.405385,0.0
-740.00886,50,20.271778,0.0
-1442.873255,50,21.146871,0.0
-617.181572,50,22.02022,0.0
-659.945043,50,22.919066,0.0
-1640.475857,50,23.751714,0.0
-1512.390437,50,30.514553,0.0
-832.574833,50,31.385933,0.0
-764.745173,50,32.246803,0.0
-832.685686,50,33.193329,0.0
-709.900461,50,34.117377,0.0
-778.35785,50,35.959133,0.0
-1107.548535,50,36.867758,0.0
-1451.055288,50,37.726224,0.0
-1484.834352,50,38.595126,0.0
-671.46484,50,39.491665,0.0
-675.353687,50,46.269472,0.0
-1072.053884,50,47.135706,0.0
-1153.005135,50,48.036897,0.0
-840.209567,50,48.927227,0.0
-1527.361584,50,49.803339,0.0
-1290.498107,50,50.648816,0.0
-1921.299336,50,51.52749,0.0
-876.823303,50,52.415802,0.0
-669.940949,50,53.337996,0.0
-1244.257931,50,54.245612,0.0
-767.208945,50,61.034889,0.0
-1215.47806,50,61.917721,0.0
-753.61193,50,62.840576,0.0
-391.934389,50,63.803551,0.0
-884.626994,50,64.671898,0.0
-1446.472016,50,65.57303,0.0
-578.838663,50,66.459693,0.0
-547.656698,50,67.355267,0.0
-1300.432493,50,68.237652,0.0
-1556.037681,50,69.13284,0.0
-925.251758,50,70.895784,0.0
-960.875594,50,77.640875,0.0
-1050.655769,50,78.554878,0.0
-949.532061,50,79.513938,0.0
-513.519761,50,80.445359,0.0
-875.230497,50,81.385371,0.0
-1147.213573,50,82.321243,0.0
-598.931666,50,83.256753,0.0
-869.4742,50,84.199634,0.0
-704.862957,50,85.121395,0.0
-860.082779,50,86.044775,0.0
-873.687212,50,92.785667,0.0
-842.421776,50,93.759395,0.0
-386.993662,50,94.678983,0.0
-874.112072,50,95.705513,0.0
-975.533125,50,96.616635,0.0
-382.774438,50,97.577185,0.0
-922.312762,50,98.482151,0.0
-694.080312,50,99.401078,0.0
-707.671467,50,100.3429,0.0
-877.066833,50,101.248425,0.0
-724.338783,50,108.000199,0.0
-374.575865,50,108.985426,0.0
-593.070125,50,109.984408,0.0
-892.148348,50,110.915111,0.0
-965.331693,50,112.873465,0.0
-444.701513,50,113.819262,0.0
-720.321742,50,114.720304,0.0
-794.065043,50,115.621933,0.0
-690.325535,50,116.580858,0.0
-843.563761,50,117.569663,0.0
-542.57073,50,124.422412,0.0
-571.345674,50,125.40234,0.0
-918.19371,50,126.404775,0.0
-564.280826,50,127.326735,0.0
-503.841574,50,128.272425,0.0
-537.695305,50,129.253655,0.0
-626.959412,50,130.221407,0.0
-727.170543,50,131.240571,0.0
-388.64998,50,132.236696,0.0
-373.721779,50,133.233768,0.0
-28.029393,10,133.426069,1.0
-863.455375,50,140.296733,0.0
-454.341799,50,141.283128,0.0
-445.303996,50,142.286531,0.0
-362.432782,50,143.260369,0.0
-229.659525,50,144.252167,0.0
-621.021739,50,145.229614,0.0
-722.655228,50,146.202306,0.0
-862.088156,50,147.199939,0.0
-959.027239,50,149.232913,0.0
-575.331339,50,150.216478,0.0
-332.262121,50,151.258103,0.0
-355.892368,50,158.160887,0.0
-394.630016,50,159.091715,0.0
-380.315007,50,160.147536,0.0
-423.453743,50,161.155596,0.0
-444.368924,50,162.141835,0.0
-844.90287,50,163.145905,0.0
-470.485061,50,164.12041,0.0
-444.059222,50,165.111912,0.0
-483.72791,50,166.142134,0.0
-781.84617,50,167.278379,0.0
-576.952229,50,174.143386,0.0
-680.14216,50,175.147849,0.0
-348.354963,50,176.175206,0.0
-97.552435,10,176.371773,1.0
-721.384245,50,177.35419,0.0
-634.740135,50,178.33206,0.0
-611.522964,50,179.348644,0.0
-633.103621,50,180.327599,0.0
-904.757169,50,181.366728,0.0
-584.100539,50,182.378328,0.0
-425.600429,50,183.364983,0.0
-898.37534,50,190.377503,0.0
-417.172022,50,191.42328,0.0
-693.256144,50,193.459402,0.0
-639.141149,50,194.506941,0.0
-702.570992,50,195.505901,0.0
-751.51826,50,196.473491,0.0
-615.622911,50,197.476069,0.0
-618.799126,50,198.465603,0.0
-415.980813,50,199.484582,0.0
-419.916141,50,200.513455,0.0
-532.704812,50,207.225115,0.0
-510.438367,50,208.249022,0.0
-787.351289,50,209.312604,0.0
-451.75979,50,210.412326,0.0
-312.861622,50,211.470995,0.0
-389.828602,50,212.452184,0.0
-307.271671,50,213.472518,0.0
-663.512512,50,214.457415,0.0
-314.150963,50,215.46413,0.0
-608.13516,50,216.519652,0.0
-431.065637,50,223.437559,0.0
-292.922325,50,224.495339,0.0
-556.498342,50,225.50664,0.0
-486.776877,50,226.490846,0.0
-564.639108,50,227.532268,0.0
-689.347509,50,228.505675,0.0
-739.361563,50,229.526022,0.0
-583.083896,50,231.543374,0.0
-340.812398,50,232.569173,0.0
-416.259175,50,233.547719,0.0
-317.793404,50,234.537548,0.0
-452.374012,50,241.278271,0.0
-773.877848,50,242.348151,0.0
-322.615896,34,243.068704,1.0
-694.563692,50,244.139042,0.0
-600.762386,50,245.113367,0.0
-617.380002,50,246.107885,0.0
-739.150015,50,247.178341,0.0
-476.761053,50,248.166686,0.0
-643.607562,50,249.238994,0.0
-197.092789,50,250.234263,0.0
-532.711784,50,257.072131,0.0
-202.880644,29,257.676038,1.0
-321.68664,50,258.807129,0.0
-693.220786,50,259.834697,0.0
-398.930362,50,260.898568,0.0
-290.877299,50,261.895681,0.0
-400.266391,50,262.96313,0.0
-505.192607,50,264.015212,0.0
-341.849782,50,265.154307,0.0
-224.890213,50,266.215253,0.0
-322.940347,50,267.184092,0.0
-604.57678,50,274.07731,0.0
-661.142711,50,276.16037,0.0
-543.10693,50,277.297603,0.0
-506.267069,50,278.405282,0.0
-469.739879,50,279.40306,0.0
-678.81731,50,280.4449,0.0
-397.202352,50,281.460587,0.0
-245.338795,50,282.498043,0.0
