#{"t_start": 1651026660.2511253, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-21.603118,50,1.046134,0.0
-19.057162,50,1.886002,0.0
-18.965831,50,2.740907,0.0
-18.062023,50,3.651148,0.0
-27.86152,50,4.517097,0.0
-23.315055,50,5.380273,0.0
-18.075736,50,6.260091,0.0
-17.480482,50,7.178673,0.0
-10.908838,50,8.065456,0.0
-18.844124,50,8.900862,0.0
-25.717877,50,15.668028,0.0
-14.455348,50,16.611431,0.0
-30.750623,50,17.460008,0.0
-4.022496,50,18.347671,0.0
-15.984002,50,19.237843,0.0
-18.344682,50,20.069878,0.0
-15.038606,50,20.953985,0.0
-21.670801,50,21.84597,0.0
-17.37615,50,22.761223,0.0
-24.855621,50,23.608651,0.0
-6.539223,50,30.359266,0.0
-19.116891,50,31.256711,0.0
-14.049375,50,32.162165,0.0
-17.099623,50,33.059685,0.0
-12.988824,50,33.936583,0.0
-19.181378,50,35.735347,0.0
-18.421439,50,36.630924,0.0
-14.672033,50,37.53186,0.0
-13.336153,50,38.435795,0.0
-17.91085,50,39.377317,0.0
-12.787407,50,46.126737,0.0
-9.94479,50,47.008106,0.0
-16.152615,50,47.86991,0.0
-16.372756,50,48.763133,0.0
-10.378196,50,49.701261,0.0
-19.74584,50,50.570859,0.0
-8.79381,50,51.476917,0.0
-11.30297,50,52.40337,0.0
-14.112143,50,53.355901,0.0
-13.185548,50,54.281923,0.0
-10.546826,50,61.069255,0.0
-13.001869,50,61.97729,0.0
-8.247406,50,62.924934,0.0
-7.2105,50,63.892166,0.0
-15.305716,50,64.789001,0.0
-19.671511,50,65.71511,0.0
-10.544918,50,66.609459,0.0
-8.563253,50,67.566055,0.0
-20.367782,50,68.511163,0.0
-12.123152,50,69.449468,0.0
-13.955129,50,71.376845,0.0
-10.982909,50,78.127235,0.0
-4.495462,50,79.130316,0.0
-7.433322,50,80.072563,0.0
-3.596099,50,81.045035,0.0
-15.1298,50,81.944754,0.0
-22.16618,50,82.835331,0.0
-11.186618,50,83.76821,0.0
-8.543339,50,84.762123,0.0
-3.728821,50,85.741993,0.0
-10.919173,50,86.660854,0.0
-13.328495,50,93.442741,0.0
-6.658243,50,94.464328,0.0
-7.188251,50,95.437427,0.0
-11.93786,50,96.414341,0.0
-6.980284,50,97.360262,0.0
-10.310603,50,98.305946,0.0
-8.80597,50,99.250083,0.0
-12.899668,50,100.184804,0.0
-7.272293,50,101.161839,0.0
-6.819542,50,102.142759,0.0
-11.864816,50,108.903576,0.0
-6.704489,50,109.872364,0.0
-16.392359,50,110.898382,0.0
-9.928697,50,111.900343,0.0
-10.649323,50,113.903822,0.0
-9.077139,50,114.8872,0.0
-13.863674,50,115.873238,0.0
-7.946135,50,116.867268,0.0
-6.000216,50,117.815177,0.0
-10.889853,50,118.834451,0.0
-15.513248,50,125.707567,0.0
-6.816635,50,126.718302,0.0
-7.284927,50,127.819369,0.0
-7.327113,50,128.855507,0.0
-14.73271,50,129.856136,0.0
-11.044863,50,130.849018,0.0
-7.868587,50,131.834521,0.0
-11.310937,50,132.866093,0.0
-5.515115,50,133.860806,0.0
-7.782231,50,134.872152,0.0
-9.511432,50,135.904977,0.0
-8.452414,50,142.874347,0.0
-11.241983,50,143.870782,0.0
-5.880297,50,144.877289,0.0
-8.340727,50,145.891865,0.0
-11.828263,50,146.908297,0.0
-8.116429,50,147.984539,0.0
-7.583764,50,149.073449,0.0
-9.690864,50,150.122157,0.0
-5.836484,50,152.210768,0.0
-5.343837,50,153.18888,0.0
-6.193689,50,160.206932,0.0
-9.733681,50,161.327579,0.0
-5.167009,50,162.323182,0.0
-5.70704,50,163.351111,0.0
-9.77871,50,164.345975,0.0
-7.025639,50,165.301851,0.0
-7.309717,50,166.385402,0.0
-6.139412,50,167.420758,0.0
-8.660112,50,168.473809,0.0
-3.903129,50,169.689003,0.0
-12.843351,50,176.674838,0.0
-4.521512,50,177.717915,0.0
-5.777819,50,178.75496,0.0
-9.96368,50,179.833935,0.0
-7.778452,50,180.796706,0.0
-3.269606,50,181.833767,0.0
-6.396931,50,182.85258,0.0
-6.337114,50,183.872104,0.0
-12.046707,50,184.947487,0.0
-5.867447,50,185.948422,0.0
-9.921163,50,192.915969,0.0
-5.592538,50,193.959539,0.0
-12.836496,50,195.100159,0.0
-5.243242,50,197.186755,0.0
-3.944154,50,198.24709,0.0
-6.556611,50,199.239305,0.0
-10.707453,50,200.274954,0.0
-4.819442,50,201.31113,0.0
-5.938866,50,202.295787,0.0
-13.339613,50,203.355164,0.0
-5.075457,50,204.417458,0.0
-5.881744,50,211.381068,0.0
-7.873996,50,212.467504,0.0
-7.343188,50,213.533798,0.0
-3.744845,50,214.645058,0.0
-9.544654,50,215.654854,0.0
-5.348883,50,216.678045,0.0
-5.871815,50,217.665178,0.0
-19.397986,50,218.688257,0.0
-6.043805,34,219.413227,1.0
-6.503681,50,220.457515,0.0
-12.400207,50,227.502154,0.0
