#{"t_start": 1649844545.4258626, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-50.0,50,1.501852,0.0
-50.0,50,2.342045,0.0
-50.0,50,3.188425,0.0
-50.0,50,4.023417,0.0
-50.0,50,4.868648,0.0
-50.0,50,5.692543,0.0
-50.0,50,6.520855,0.0
-50.0,50,7.362533,0.0
-50.0,50,8.180955,0.0
-50.0,50,9.007396,0.0
-50.0,50,15.59632,0.0
-50.0,50,16.45467,0.0
-50.0,50,17.309466,0.0
-50.0,50,18.148895,0.0
-50.0,50,18.999468,0.0
-50.0,50,19.847029,0.0
-50.0,50,20.678257,0.0
-50.0,50,21.522202,0.0
-50.0,50,22.402218,0.0
-50.0,50,23.239705,0.0
-50.0,50,29.839274,0.0
-50.0,50,30.731327,0.0
-50.0,50,31.55929,0.0
-50.0,50,32.401574,0.0
-50.0,50,33.263846,0.0
-50.0,50,34.975907,0.0
-50.0,50,35.831261,0.0
-50.0,50,36.647155,0.0
-50.0,50,37.492312,0.0
-50.0,50,38.35201,0.0
-50.0,50,45.01339,0.0
-50.0,50,45.844818,0.0
-50.0,50,46.672766,0.0
-50.0,50,47.528904,0.0
-50.0,50,48.390682,0.0
-50.0,50,49.235284,0.0
-50.0,50,50.088066,0.0
-50.0,50,50.92689,0.0
-50.0,50,51.757262,0.0
-50.0,50,52.573709,0.0
-50.0,50,59.175812,0.0
-50.0,50,60.010244,0.0
-50.0,50,60.828023,0.0
-50.0,50,61.663247,0.0
-50.0,50,62.51976,0.0
-50.0,50,63.345255,0.0
-50.0,50,64.192357,0.0
-50.0,50,65.03266,0.0
-50.0,50,65.885971,0.0
-50.0,50,66.793701,0.0
-50.0,50,68.519634,0.0
-50.0,50,75.097122,0.0
-50.0,50,75.917264,0.0
-50.0,50,76.743724,0.0
-50.0,50,77.601025,0.0
-50.0,50,78.434872,0.0
-50.0,50,79.288071,0.0
-50.0,50,80.150004,0.0
-50.0,50,81.015332,0.0
-50.0,50,81.881125,0.0
-50.0,50,82.725325,0.0
-50.0,50,89.35144,0.0
-50.0,50,90.21503,0.0
-50.0,50,91.088664,0.0
-50.0,50,91.916052,0.0
-50.0,50,92.766165,0.0
-50.0,50,93.616631,0.0
-50.0,50,94.518985,0.0
-50.0,50,95.361857,0.0
-50.0,50,96.264828,0.0
-50.0,50,97.133776,0.0
-50.0,50,103.766543,0.0
-50.0,50,104.647634,0.0
-50.0,50,105.561181,0.0
-50.0,50,106.478141,0.0
-50.0,50,108.231067,0.0
-50.0,50,109.100175,0.0
-50.0,50,109.946085,0.0
-50.0,50,110.786672,0.0
-50.0,50,111.638129,0.0
-50.0,50,112.466273,0.0
-50.0,50,119.125473,0.0
-50.0,50,119.982894,0.0
-50.0,50,120.826528,0.0
-50.0,50,121.746683,0.0
-50.0,50,122.613182,0.0
-50.0,50,123.493985,0.0
-50.0,50,124.369147,0.0
-50.0,50,125.222786,0.0
-50.0,50,126.09912,0.0
-50.0,50,126.945934,0.0
-50.0,50,127.809701,0.0
-50.0,50,134.440401,0.0
-50.0,50,135.276491,0.0
-50.0,50,136.146379,0.0
-50.0,50,136.982773,0.0
-50.0,50,137.837875,0.0
-50.0,50,138.707362,0.0
-50.0,50,139.550523,0.0
-50.0,50,140.416329,0.0
-50.0,50,142.0697,0.0
-50.0,50,142.917572,0.0
-50.0,50,149.467974,0.0
-50.0,50,150.306086,0.0
-50.0,50,151.156616,0.0
-50.0,50,151.980826,0.0
-50.0,50,152.833551,0.0
-50.0,50,153.710294,0.0
-50.0,50,154.536436,0.0
-50.0,50,155.383058,0.0
-50.0,50,156.250463,0.0
-50.0,50,157.065346,0.0
-50.0,50,163.67907,0.0
-50.0,50,164.516634,0.0
-50.0,50,165.382749,0.0
-50.0,50,166.267955,0.0
-50.0,50,167.11111,0.0
-50.0,50,167.971261,0.0
-50.0,50,168.843682,0.0
-50.0,50,169.702557,0.0
-50.0,50,170.592788,0.0
-50.0,50,171.486667,0.0
-50.0,50,178.153808,0.0
-50.0,50,179.007924,0.0
-50.0,50,179.870767,0.0
-50.0,50,181.67715,0.0
-50.0,50,182.592354,0.0
-50.0,50,183.460771,0.0
-50.0,50,184.309114,0.0
-50.0,50,185.166785,0.0
-50.0,50,186.044922,0.0
-50.0,50,186.933955,0.0
-50.0,50,187.78474,0.0
-50.0,50,194.646696,0.0
-50.0,50,195.52715,0.0
-50.0,50,196.360157,0.0
-50.0,50,197.264848,0.0
-50.0,50,198.185329,0.0
-50.0,50,199.058409,0.0
-50.0,50,199.900847,0.0
-50.0,50,200.759964,0.0
-50.0,50,201.599151,0.0
-50.0,50,202.500647,0.0
-50.0,50,209.133021,0.0
-50.0,50,210.010657,0.0
-50.0,50,210.910696,0.0
-50.0,50,211.793165,0.0
-50.0,50,212.638502,0.0
-50.0,50,213.703477,0.0
-50.0,50,214.64027,0.0
-50.0,50,216.379362,0.0
-50.0,50,217.260981,0.0
-50.0,50,218.137222,0.0
-50.0,50,224.774697,0.0
-50.0,50,225.599394,0.0
-50.0,50,226.455835,0.0
-50.0,50,227.304952,0.0
-50.0,50,228.134071,0.0
-50.0,50,228.955071,0.0
-50.0,50,229.818478,0.0
-50.0,50,230.741071,0.0
-50.0,50,231.608679,0.0
-50.0,50,232.628266,0.0
-50.0,50,239.130865,0.0
-50.0,50,239.93791,0.0
-50.0,50,240.811532,0.0
-50.0,50,241.648744,0.0
-50.0,50,242.500309,0.0
-50.0,50,243.401757,0.0
-50.0,50,244.225088,0.0
-50.0,50,245.131391,0.0
-50.0,50,246.06146,0.0
-50.0,50,246.930983,0.0
-50.0,50,247.768997,0.0
-50.0,50,254.381365,0.0
-50.0,50,256.050026,0.0
-50.0,50,256.904317,0.0
-50.0,50,257.890838,0.0
-50.0,50,258.738088,0.0
