#{"t_start": 1650833954.4668453, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-525.27298,50,1.308912,0.0
-437.991706,50,2.101506,0.0
-544.103942,50,2.907262,0.0
-1021.119998,50,3.71943,0.0
-733.833742,50,4.518052,0.0
-982.792835,50,5.334105,0.0
-898.701531,50,6.124434,0.0
-739.98446,50,6.923686,0.0
-1046.599831,50,7.715794,0.0
-1070.263497,50,8.526693,0.0
-1063.199793,50,14.955683,0.0
-899.777721,50,15.763711,0.0
-624.305085,50,16.566714,0.0
-679.933098,50,17.379509,0.0
-624.577487,50,18.188806,0.0
-1035.556502,50,18.997745,0.0
-877.036651,50,19.812799,0.0
-569.70273,50,20.620681,0.0
-737.037385,50,21.43509,0.0
-1090.584001,50,22.237796,0.0
-513.902633,50,28.83569,0.0
-908.013785,50,29.636205,0.0
-481.421041,50,30.445011,0.0
-614.72557,50,31.24699,0.0
-596.203154,50,32.059786,0.0
-650.393311,50,33.708229,0.0
-575.182708,50,34.516869,0.0
-806.091198,50,35.315987,0.0
-705.214407,50,36.117399,0.0
-884.041031,50,36.925252,0.0
-411.409634,50,43.509012,0.0
-933.662979,50,44.316061,0.0
-738.77087,50,45.121166,0.0
-759.256613,50,45.939966,0.0
-800.858185,50,46.746003,0.0
-475.608501,50,47.544662,0.0
-914.748771,50,48.35223,0.0
-533.192004,50,49.172579,0.0
-1002.728965,50,49.990206,0.0
-772.521688,50,50.797633,0.0
-822.290801,50,57.404283,0.0
-656.855841,50,58.206484,0.0
-778.265199,50,59.009892,0.0
-557.050757,50,59.827224,0.0
-609.529744,50,60.633707,0.0
-521.135714,50,61.44062,0.0
-985.472229,50,62.246199,0.0
-644.934486,50,63.05224,0.0
-396.44628,50,63.852129,0.0
-449.108598,50,64.655382,0.0
-1007.975052,50,66.307142,0.0
-892.211401,50,72.915689,0.0
-888.91737,50,73.73024,0.0
-656.686366,50,74.537952,0.0
-996.133862,50,75.35062,0.0
-447.125114,50,76.169982,0.0
-574.925243,50,76.976694,0.0
-639.483204,50,77.783948,0.0
-885.991936,50,78.609178,0.0
-523.844001,50,79.412826,0.0
-475.731031,50,80.213587,0.0
-325.257382,50,86.740118,0.0
-425.758614,50,87.557957,0.0
-1073.263544,50,88.35793,0.0
-668.57055,50,89.168571,0.0
-586.391537,50,89.979559,0.0
-326.177161,50,90.765365,0.0
-498.698536,50,91.561197,0.0
-506.453818,50,92.361998,0.0
-415.339812,50,93.171716,0.0
-404.864914,50,93.992291,0.0
-673.097211,50,100.528266,0.0
-782.08827,50,101.332809,0.0
-669.679226,50,102.141154,0.0
-615.021783,50,102.939373,0.0
-530.047467,50,104.593277,0.0
-651.887767,50,105.396727,0.0
-452.992531,50,106.210025,0.0
-597.873641,50,107.008682,0.0
-692.369806,50,107.815923,0.0
-574.631337,50,108.61118,0.0
-325.163492,50,115.152472,0.0
-503.129639,50,115.957489,0.0
-815.110127,50,116.772003,0.0
-519.468758,50,117.587764,0.0
-703.095051,50,118.394521,0.0
-711.830772,50,119.187692,0.0
-278.339686,50,119.995678,0.0
-551.455954,50,120.807137,0.0
-425.517017,50,121.609127,0.0
-461.211118,50,122.412709,0.0
-483.616129,50,123.23601,0.0
-584.936846,50,129.752813,0.0
-589.763622,50,130.555748,0.0
-606.202574,50,131.379459,0.0
-774.884628,50,132.193044,0.0
-289.706338,50,133.007819,0.0
-508.093192,50,133.814811,0.0
-394.058302,50,134.611129,0.0
-331.250605,50,135.437359,0.0
-520.637284,50,137.085696,0.0
-684.98133,50,137.899884,0.0
-359.114579,50,144.454974,0.0
-845.428273,50,145.279137,0.0
-463.143067,50,146.101167,0.0
-448.634436,50,146.919931,0.0
-390.66044,50,147.768595,0.0
-291.374985,50,148.592213,0.0
-691.918504,50,149.403267,0.0
-113.573356,15,149.640332,1.0
-462.604901,50,150.475092,0.0
-331.87979,50,151.29404,0.0
-288.421596,50,152.097121,0.0
-4.016721,2,152.129528,1.0
-384.286989,50,158.694565,0.0
-617.546298,50,159.5065,0.0
-273.873724,50,160.3146,0.0
-372.773384,50,161.119391,0.0
-340.226341,50,161.929305,0.0
-630.245564,50,162.749582,0.0
-390.263553,50,163.554038,0.0
-233.67788,50,164.350262,0.0
-419.789733,50,165.144358,0.0
-732.556805,50,165.946915,0.0
-760.265415,50,172.489149,0.0
-360.572024,50,173.295443,0.0
-315.195119,50,174.96422,0.0
-382.261699,50,175.772766,0.0
-500.162137,50,176.58575,0.0
-572.251736,50,177.393055,0.0
-452.395086,50,178.191665,0.0
-250.44186,50,179.010159,0.0
-374.816893,50,179.809901,0.0
-238.994596,50,180.615682,0.0
-507.00564,50,187.146294,0.0
-449.682399,50,187.939081,0.0
-268.412918,50,188.741385,0.0
-569.144823,50,189.542782,0.0
-443.830718,50,190.347548,0.0
-338.862674,50,191.153064,0.0
-278.154255,50,191.957374,0.0
-456.646385,50,192.764997,0.0
-292.704486,50,193.58879,0.0
-453.602192,50,194.405633,0.0
-271.114352,50,195.233111,0.0
-310.627107,50,201.843187,0.0
-268.97257,50,202.637185,0.0
-380.871151,50,203.450846,0.0
-381.46968,50,204.264964,0.0
-357.94162,50,205.050993,0.0
-153.799508,13,205.254364,1.0
-281.110895,50,206.077976,0.0
-284.729638,50,207.737132,0.0
-270.522909,50,208.546126,0.0
-439.548711,50,209.348138,0.0
-292.03113,50,210.182906,0.0
-259.941754,50,216.812243,0.0
-466.13048,50,217.628077,0.0
-278.768814,50,218.435422,0.0
-576.42469,50,219.231512,0.0
-353.006463,50,220.01294,0.0
-100.464417,18,220.300324,1.0
-321.904852,50,221.101259,0.0
-478.588472,50,221.894504,0.0
-329.346297,50,222.70252,0.0
-248.287742,50,223.524986,0.0
-325.806026,50,230.117834,0.0
-557.554372,50,230.917903,0.0
-463.546962,50,231.731949,0.0
-255.324822,50,232.553821,0.0
-492.292977,50,233.36517,0.0
-482.870343,50,234.159177,0.0
-279.085258,50,234.966573,0.0
-227.215954,50,235.779317,0.0
-217.20494,50,236.590276,0.0
-277.638057,50,237.408481,0.0
-97.529125,18,237.702285,1.0
-360.167244,50,244.302846,0.0
-461.259158,50,245.921925,0.0
-266.426946,50,246.740332,0.0
-255.88895,50,247.559309,0.0
-237.791151,50,248.381785,0.0
-640.307673,50,249.191937,0.0
-479.348608,50,250.00256,0.0
-446.919749,50,250.801003,0.0
-519.752108,50,251.602765,0.0
-348.999037,50,252.40353,0.0
-456.177026,50,253.223592,0.0
-341.289495,50,259.822504,0.0
-300.799742,50,260.629059,0.0
-244.688501,50,261.434986,0.0
-462.581107,50,262.251097,0.0
-482.194771,50,263.052846,0.0
-516.782508,50,263.862306,0.0
-268.236484,50,264.668004,0.0
-218.256856,50,265.481252,0.0
-222.068759,50,266.282367,0.0
-144.840999,31,266.783408,1.0
-275.681849,50,273.367131,0.0
-319.37871,50,274.164862,0.0
-296.627363,50,274.971204,0.0
-181.663344,50,275.794161,0.0
-292.556239,50,276.607874,0.0
-229.559756,50,277.410451,0.0
-343.7396,50,279.063495,0.0
-348.007125,50,279.864282,0.0
-309.630857,50,280.673589,0.0
-275.299672,50,281.544884,0.0
-312.990907,50,288.052953,0.0
-253.133322,50,288.850227,0.0
-260.169297,50,289.653122,0.0
-309.80112,50,290.463803,0.0
-264.960433,50,291.285235,0.0
-123.612681,27,291.719162,1.0
-289.672421,50,292.523443,0.0
-258.109198,50,293.318894,0.0
-252.19311,50,294.129582,0.0
-402.735551,50,294.925934,0.0
-416.665896,50,295.723938,0.0
-187.632679,50,302.330004,0.0
-227.226432,50,303.143869,0.0
-203.492724,50,303.963743,0.0
-237.241906,50,304.767081,0.0
-376.415793,50,305.576175,0.0
-226.571344,50,306.377605,0.0
-288.409521,50,307.171979,0.0
-363.234324,50,307.973537,0.0
-134.652631,23,308.353397,1.0
-263.007847,50,309.170397,0.0
-267.357722,50,309.999942,0.0
-542.340067,50,317.405227,0.0
-262.35585,50,318.223962,0.0
-417.672845,50,319.030532,0.0
-234.617195,50,319.823488,0.0
-42.315887,10,319.982612,1.0
-345.97094,50,320.775918,0.0
-464.079638,50,321.56018,0.0
-443.853056,50,322.348751,0.0
-254.572528,50,323.143933,0.0
-257.168961,50,323.938347,0.0
-365.350573,50,324.741666,0.0
-247.860201,50,331.336657,0.0
-408.534512,50,332.130391,0.0
-223.057712,50,332.932128,0.0
-197.92488,50,333.734989,0.0
-324.319714,50,334.548328,0.0
-242.518469,50,335.331521,0.0
-210.480666,50,336.12556,0.0
-383.696024,50,336.907994,0.0
-363.158857,50,337.713422,0.0
-293.484254,50,338.502183,0.0
-194.66808,50,345.093545,0.0
-246.931478,50,345.888256,0.0
-202.451398,50,346.690904,0.0
-31.956788,9,346.834845,1.0
-241.797204,50,347.619898,0.0
-354.160623,50,349.259003,0.0
-186.042997,46,349.994777,1.0
-214.034271,50,350.799258,0.0
-211.787512,26,351.225984,1.0
-221.184093,50,352.032671,0.0
-270.986553,50,352.82863,0.0
-376.836209,50,353.615379,0.0
-409.749945,50,360.163764,0.0
-217.397233,50,360.979484,0.0
-442.604478,50,361.78704,0.0
-179.773684,50,362.597251,0.0
-99.526266,17,362.865568,1.0
-204.768024,50,363.670679,0.0
-73.618651,16,363.933292,1.0
-76.598405,21,364.270985,1.0
-200.163035,50,365.076925,0.0
-441.149956,50,365.873773,0.0
-181.73443,50,366.673283,0.0
-208.472595,50,367.480873,0.0
-361.199034,27,373.666133,1.0
-356.446265,50,374.450963,0.0
-95.578253,14,374.677326,1.0
-407.172535,50,375.46816,0.0
-411.38842,50,376.265441,0.0
-273.612577,50,377.0813,0.0
-330.994664,50,377.870368,0.0
-184.549001,26,378.288688,1.0
-216.408794,50,379.137427,0.0
-360.382615,50,379.94735,0.0
-440.01407,50,381.591199,0.0
-322.745808,50,382.396767,0.0
-450.911972,50,388.974035,0.0
-209.956728,50,389.767346,0.0
-258.123996,50,390.55176,0.0
-233.53293,50,391.336387,0.0
-162.020352,50,392.123884,0.0
-343.860845,50,392.913549,0.0
-331.614678,50,393.713696,0.0
-170.704314,50,394.516582,0.0
-121.588594,26,394.92399,1.0
-214.381683,50,395.724603,0.0
-378.067499,50,396.531305,0.0
-369.094502,29,402.758377,1.0
-145.610698,28,403.209195,1.0
-328.715197,50,404.015006,0.0
-415.947142,50,404.817414,0.0
-253.46766,50,405.619742,0.0
-323.710346,28,406.067291,1.0
-467.234475,50,406.863775,0.0
-248.169714,50,407.656329,0.0
-121.34148,23,408.02035,1.0
-190.957014,50,408.817077,0.0
-216.865373,50,409.617372,0.0
-128.331239,26,410.038882,1.0
-179.443477,50,416.599844,0.0
-479.646998,50,417.383655,0.0
-105.66701,17,417.650363,1.0
-76.649295,12,417.840595,1.0
-278.405467,50,418.642486,0.0
-208.936501,50,420.294719,0.0
