#{"t_start": 1650895451.874961, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-50.0,50,1.131009,0.0
-50.0,50,1.925506,0.0
-50.0,50,2.731085,0.0
-50.0,50,3.546499,0.0
-50.0,50,4.342191,0.0
-50.0,50,5.148265,0.0
-50.0,50,5.939406,0.0
-50.0,50,6.739365,0.0
-50.0,50,7.531415,0.0
-50.0,50,8.343204,0.0
-50.0,50,14.928464,0.0
-50.0,50,15.728103,0.0
-50.0,50,16.529002,0.0
-50.0,50,17.340067,0.0
-50.0,50,18.13947,0.0
-50.0,50,18.939042,0.0
-50.0,50,19.749508,0.0
-50.0,50,20.567078,0.0
-50.0,50,21.379887,0.0
-50.0,50,22.175118,0.0
-50.0,50,28.775636,0.0
-50.0,50,29.583199,0.0
-50.0,50,30.391888,0.0
-50.0,50,31.199615,0.0
-50.0,50,32.016272,0.0
-50.0,50,33.6865,0.0
-50.0,50,34.507885,0.0
-50.0,50,35.315767,0.0
-50.0,50,36.120586,0.0
-50.0,50,36.939963,0.0
-50.0,50,43.513283,0.0
-50.0,50,44.319996,0.0
-50.0,50,45.129923,0.0
-50.0,50,45.96561,0.0
-50.0,50,46.778923,0.0
-50.0,50,47.589859,0.0
-50.0,50,48.403584,0.0
-50.0,50,49.220917,0.0
-50.0,50,50.037149,0.0
-50.0,50,50.851443,0.0
-50.0,50,57.514446,0.0
-50.0,50,58.323658,0.0
-50.0,50,59.127407,0.0
-50.0,50,59.947438,0.0
-50.0,50,60.758335,0.0
-50.0,50,61.579847,0.0
-50.0,50,62.388948,0.0
-50.0,50,63.202946,0.0
-50.0,50,64.013645,0.0
-50.0,50,64.833982,0.0
-50.0,50,66.505789,0.0
-50.0,50,73.129566,0.0
-50.0,50,73.942472,0.0
-50.0,50,74.763685,0.0
-50.0,50,75.577183,0.0
-50.0,50,76.392521,0.0
-50.0,50,77.207771,0.0
-50.0,50,78.023972,0.0
-50.0,50,78.863464,0.0
-50.0,50,79.672825,0.0
-50.0,50,80.476718,0.0
-50.0,50,87.043444,0.0
-50.0,50,87.886667,0.0
-50.0,50,88.69641,0.0
-50.0,50,89.517494,0.0
-50.0,50,90.340751,0.0
-50.0,50,91.128815,0.0
-50.0,50,91.933884,0.0
-50.0,50,92.750276,0.0
-50.0,50,93.561644,0.0
-50.0,50,94.383873,0.0
-50.0,50,100.973995,0.0
-50.0,50,101.787964,0.0
-50.0,50,102.608142,0.0
-50.0,50,103.411049,0.0
-50.0,50,105.081143,0.0
-50.0,50,105.900493,0.0
-50.0,50,106.707373,0.0
-50.0,50,107.57691,0.0
-50.0,50,108.506188,0.0
-50.0,50,109.339687,0.0
-50.0,50,115.972773,0.0
-50.0,50,116.795407,0.0
-50.0,50,117.625775,0.0
-50.0,50,118.446895,0.0
-50.0,50,119.269481,0.0
-50.0,50,120.084027,0.0
-50.0,50,120.907142,0.0
-50.0,50,121.725038,0.0
-50.0,50,122.535295,0.0
-50.0,50,123.364053,0.0
-50.0,50,124.189939,0.0
-50.0,50,130.758766,0.0
-50.0,50,131.577738,0.0
-50.0,50,132.401362,0.0
-50.0,50,133.227303,0.0
-50.0,50,134.108863,0.0
-50.0,50,134.948088,0.0
-50.0,50,135.75886,0.0
-50.0,50,136.588356,0.0
-50.0,50,138.253707,0.0
-50.0,50,139.074403,0.0
-50.0,50,145.626014,0.0
-50.0,50,146.439604,0.0
-50.0,50,147.255673,0.0
-50.0,50,148.066974,0.0
-50.0,50,148.903867,0.0
-50.0,50,149.717144,0.0
-50.0,50,150.528003,0.0
-50.0,50,151.341812,0.0
-50.0,50,152.148489,0.0
-50.0,50,152.974069,0.0
-50.0,50,159.575975,0.0
-50.0,50,160.39923,0.0
-50.0,50,161.241267,0.0
-50.0,50,162.061776,0.0
-50.0,50,162.874733,0.0
-50.0,50,163.685084,0.0
-50.0,50,164.501873,0.0
-50.0,50,165.307712,0.0
-50.0,50,166.102736,0.0
-50.0,50,166.919384,0.0
-50.0,50,173.534546,0.0
-50.0,50,174.363056,0.0
-50.0,50,175.20563,0.0
-50.0,50,176.798332,0.0
-50.0,50,177.64991,0.0
-50.0,50,178.482056,0.0
-50.0,50,179.303025,0.0
-50.0,50,180.118186,0.0
-50.0,50,180.932364,0.0
-50.0,50,181.749477,0.0
-50.0,50,182.559393,0.0
-50.0,50,189.223548,0.0
-50.0,50,190.053806,0.0
-50.0,50,190.864856,0.0
-50.0,50,191.667663,0.0
-50.0,50,192.474982,0.0
-50.0,50,193.275271,0.0
-50.0,50,194.090439,0.0
-50.0,50,194.91289,0.0
-50.0,50,195.715399,0.0
-50.0,50,196.530104,0.0
-50.0,50,203.122574,0.0
-50.0,50,203.972485,0.0
-50.0,50,204.796876,0.0
-50.0,50,205.62269,0.0
-50.0,50,206.429477,0.0
-50.0,50,207.238132,0.0
-50.0,50,208.035188,0.0
-50.0,50,209.676841,0.0
-50.0,50,210.485389,0.0
-50.0,50,211.286562,0.0
-50.0,50,217.905589,0.0
-50.0,50,218.720948,0.0
-50.0,50,219.554241,0.0
-50.0,50,220.37727,0.0
-50.0,50,221.18568,0.0
-50.0,50,221.981582,0.0
-50.0,50,222.793603,0.0
-50.0,50,223.605265,0.0
-50.0,50,224.409768,0.0
-50.0,50,225.212765,0.0
-50.0,50,231.801627,0.0
-50.0,50,232.604206,0.0
-50.0,50,233.407484,0.0
